business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sungjem Aier Counselling & Therapy Clinic,Therapy Center,Psychologist,"Psychologist, Counselor, Psychotherapist",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 87878 14344,https://www.sungjemaier.com/,5.0,15.0,"Supply Colony, near Urban PHED Office, Razphie Village, Hill View Colony, Dimapur, Nagaland 797112","Razphie Village, Hill View Colony",25.9057097,93.6969062,ChIJiV9XfpLhRTcRRHHC86snuuc,https://www.google.com/maps/place/?q=place_id:ChIJiV9XfpLhRTcRRHHC86snuuc,part_360,2026-09-20 20:18:21
Mamta Physiotherapy Center,Therapy Center,Physiotherapy Center,Physiotherapy Center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.8,,"near MH Hospital, Churches Colony, Notun Bosti, Dimapur, Nagaland 797117","Churches Colony, Notun Bosti",25.9135776,93.7176903,ChIJs319uYzhRTcRMusQaHxj0LE,https://www.google.com/maps/place/?q=place_id:ChIJs319uYzhRTcRMusQaHxj0LE,part_360,2026-09-20 20:18:21
Silas Care Center,Therapy Center,Rehabilitation center,Rehabilitation center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,3.0,4.0,"WM77+4C, Tekata Jang, Assam 782470",782470,25.912843499999997,93.6635087,ChIJx4nLsMXhRTcRD27kyepPTMM,https://www.google.com/maps/place/?q=place_id:ChIJx4nLsMXhRTcRD27kyepPTMM,part_360,2026-09-20 20:18:21
Pain Free Zone Physiotherapy Clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"WP75+R7H, NH 36, Fellowship Colony, Dimapur, Nagaland 797113",Fellowship Colony,25.9145598,93.7082271,ChIJSS0_JwDhRTcR_tK-PENQd9g,https://www.google.com/maps/place/?q=place_id:ChIJSS0_JwDhRTcR_tK-PENQd9g,part_360,2026-09-20 20:18:21
NT_ Revivify Counseling Service,Therapy Center,Mental health service,Mental health service,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 89215 98726,https://ntrevivifycounselingservice.systeme.io/86a20bf5,5.0,40.0,"supermarket, Bridge, Dimapur, Nagaland 797112",782470,25.866954999999997,93.7166628,ChIJzZkYKqDjRTcRvciV9iQL5G8,https://www.google.com/maps/place/?q=place_id:ChIJzZkYKqDjRTcRvciV9iQL5G8,part_360,2026-09-20 20:18:21
Revive Physiotherapy clinic,Therapy Center,Physiotherapist,Physiotherapist,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 89198 61419,N/A,5.0,,"H/No.262, near Trinity School Tinali, Thahekhu Village, Dimapur, Nagaland 797118",Thahekhu Village,25.886737699999998,93.723849,ChIJjVEj2VfjRTcRzcCyr-7pSB0,https://www.google.com/maps/place/?q=place_id:ChIJjVEj2VfjRTcRzcCyr-7pSB0,part_360,2026-09-20 20:18:21
PhysioCare Clinic,Therapy Center,Physiotherapy Center,Physiotherapy Center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"Welcome gate, Near, Signal Bosti, Dimapur, Nagaland 797118",Signal Bosti,25.8920262,93.720247,ChIJ6VmcQwDjRTcRrQflpVFgU8w,https://www.google.com/maps/place/?q=place_id:ChIJ6VmcQwDjRTcRrQflpVFgU8w,part_360,2026-09-20 20:18:21
Isabel physiotherapy clinic and nutrition,Therapy Center,Physiotherapy Center,Physiotherapy Center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"Walford Rd, opp. BELHOS HOSPITAL, Walford Colony, Dimapur, Nagaland 797112",Walford Colony,25.909247999999998,93.73751089999999,ChIJETj2Zs3hRTcRcZGaXSPacA4,https://www.google.com/maps/place/?q=place_id:ChIJETj2Zs3hRTcRcZGaXSPacA4,part_360,2026-09-20 20:18:21
Bethesda Youth Welfare Centre,Therapy Center,Social services organization,Social services organization,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 3862 229 046,https://bethesdaywc.org/,2.7,,"WP62+FJF, Lengrijan Rd, Duncan Basti, Dimapur, Nagaland 797113",Duncan Basti,25.9111861,93.70154559999999,ChIJ3f8RInjhRTcR0o4u5WFGiY4,https://www.google.com/maps/place/?q=place_id:ChIJ3f8RInjhRTcR0o4u5WFGiY4,part_360,2026-09-20 20:18:21
Sober wellness foundation ( rehabilitation centre),Therapy Center,Addiction treatment center,Addiction treatment center,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 99578 68913,N/A,4.8,39.0,"Bokajan, Assam 782480",782470,25.9578125,93.7276875,ChIJMZWzegDhRTcRDmIgV4QZmfQ,https://www.google.com/maps/place/?q=place_id:ChIJMZWzegDhRTcRDmIgV4QZmfQ,part_360,2026-09-20 20:18:21
