business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAHEEN ALUMINIUM WORKS,Aluminium Fabrication,Aluminum window,Aluminum window,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,9.0,"Rupahi Town, Assam 782125",782470,26.417727499999998,92.74193009999999,ChIJAbtSJ4XfRDcRmKAqnEBoqAI,https://www.google.com/maps/place/?q=place_id:ChIJAbtSJ4XfRDcRmKAqnEBoqAI,part_360,2026-09-20 20:18:34
Jenty Steels,Aluminium Fabrication,Steel fabricator,Steel fabricator,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 3862 232 933,N/A,5.0,3.0,"WP87+488, Fellowship Colony, Dimapur, Nagaland 797113",Fellowship Colony,25.9152933,93.71332939999999,ChIJS5TJbJbhRTcRI3NbyaSOVnM,https://www.google.com/maps/place/?q=place_id:ChIJS5TJbJbhRTcRI3NbyaSOVnM,part_360,2026-09-20 20:18:34
GGB ALUMINIUM HOUSE GUWAHATI,Aluminium Fabrication,Metal fabricator,"Metal fabricator, Aluminium Supplier, Fabrication Engineer",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 80114 95985,http://www.ggbaluminiumhouse.in/,4.4,13.0,"H/No, 2, Ambari Rd, opp. Police Station Byelane, Fatasil Ambari, Guwahati, Assam 781018",Fatasil Ambari,26.160069999999997,91.73924889999999,ChIJy46a4sVbWjcR2cVRChTBU_k,https://www.google.com/maps/place/?q=place_id:ChIJy46a4sVbWjcR2cVRChTBU_k,part_360,2026-09-20 20:18:34
KAMAKHYA INDUSTRIES,Aluminium Fabrication,Aluminum window,"Aluminum window, Aluminium Supplier, Aluminum frames supplier, Door manufacturer, Door supplier, Manufacturer, Metal fabricator, PVC windows supplier, Window installation service",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 98640 24248,N/A,4.8,25.0,"Japorigog Tinali, Zoo Rd, Guwahati, Assam 781005",Sundarpur,26.1559368,91.7899271,ChIJkVN207JZWjcRYgsG9A22028,https://www.google.com/maps/place/?q=place_id:ChIJkVN207JZWjcRYgsG9A22028,part_360,2026-09-20 20:18:34
MILLIK FABRICATION (welding garage),Aluminium Fabrication,Metal workshop,Metal workshop,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 60019 98460,N/A,,,"Housings board, near basic training centres, Diphu, Assam 782460",782470,25.8504151,93.42771929999999,ChIJNUCqdQDtRTcR1vvvNmOEIEw,https://www.google.com/maps/place/?q=place_id:ChIJNUCqdQDtRTcR1vvvNmOEIEw,part_360,2026-09-20 20:18:34
ALUMINIUM INDUSTRIES (Assam) Pvt. Ltd.,Aluminium Fabrication,Aluminum frames supplier,Aluminum frames supplier,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,1.0,1.0,"Makum Rd, near Thermal Gate, Tinsukia, Assam 786146",782470,27.485983599999997,95.3797048,ChIJS8E1YVhrPzcR8kMxi7F_84g,https://www.google.com/maps/place/?q=place_id:ChIJS8E1YVhrPzcR8kMxi7F_84g,part_360,2026-09-20 20:18:34
Choudhary Steel Industries,Aluminium Fabrication,Metal fabricator,"Metal fabricator, Steel fabricator",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 96786 26266,N/A,4.8,29.0,"Lal Ganesh Rd, Lokhra, Guwahati, Assam 781040",Lokhra,26.1191614,91.74883779999999,ChIJ7WRk9gNcWjcR3xsNcg8pgHM,https://www.google.com/maps/place/?q=place_id:ChIJ7WRk9gNcWjcR3xsNcg8pgHM,part_360,2026-09-20 20:18:34
Jaan Grill Fabrication,Aluminium Fabrication,Hardware store,"Hardware store, Home goods store",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 91014 19228,N/A,4.9,113.0,"Ahmed Nagar, mojoli, Dharapur, Guwahati, Assam 781017","Ahmed Nagar, mojoli, Dharapur",26.1385917,91.6167595,ChIJAfYnqEtZWjcR5AjAUfwLyfw,https://www.google.com/maps/place/?q=place_id:ChIJAfYnqEtZWjcR5AjAUfwLyfw,part_360,2026-09-20 20:18:34
Halco Aluminium Extrusions,Aluminium Fabrication,Aluminum window,"Aluminum window, Manufacturer",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 361 234 2186,http://halcoaluminium.com/,4.5,8.0,"22, Shreenagar Main Road, Dispur, Subpost Office, Guwahati, Assam 781005","Dispur, Subpost Office",26.1601832,91.7771559,ChIJO1paBBFZWjcRJMiIOf1oh7k,https://www.google.com/maps/place/?q=place_id:ChIJO1paBBFZWjcRJMiIOf1oh7k,part_360,2026-09-20 20:18:34
National steel welding fabrication work,Aluminium Fabrication,Welder,Welder,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 96257 43397,N/A,4.2,5.0,"VPR6+CMH, Signal Angami, Dimapur, Nagaland 797118",Signal Angami,25.890752199999998,93.7126936,ChIJ7fFI6lTjRTcRicGxGEufnKI,https://www.google.com/maps/place/?q=place_id:ChIJ7fFI6lTjRTcRicGxGEufnKI,part_360,2026-09-20 20:18:34
