business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
kongrolar kilem PG,PG,Student dormitory,Student dormitory,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"Lengrijan, Dimapur, Nagaland 797112",Lengrijan,25.911008799999998,93.69809,ChIJ4dEnYqvhRTcRYdt8x7YATgM,https://www.google.com/maps/place/?q=place_id:ChIJ4dEnYqvhRTcRYdt8x7YATgM,part_360,2026-09-20 20:18:24
VELOURA GIRLS P.G,PG,Girls' hostel,Girls' hostel,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70057 53237,N/A,5.0,,"Diphu Road, near Sub-Jail Road, Tinali, Industrial Estate Colony, Dimapur, Nagaland 797113","Tinali, Industrial Estate Colony",25.9020826,93.6949918,ChIJW8x6ApjhRTcRTHYhDVR5clY,https://www.google.com/maps/place/?q=place_id:ChIJW8x6ApjhRTcRTHYhDVR5clY,part_360,2026-09-20 20:18:24
Kin Hostel and PG for Girls,PG,Student dormitory,Student dormitory,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 84007 86239,N/A,5.0,,"Kin hostel, D.C. Court, Razphie Village, Hill View Colony, Dimapur, Nagaland 797112","Razphie Village, Hill View Colony",25.904782299999997,93.69783179999999,ChIJx9DoYTzhRTcR54BNqgXUyzM,https://www.google.com/maps/place/?q=place_id:ChIJx9DoYTzhRTcR54BNqgXUyzM,part_360,2026-09-20 20:18:24
SERENE STAY BOYS PG,PG,Student dormitory,Student dormitory,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.7,,"WM5W+567, Lengrijan Rd, Razphie Village, Lengrijan, Dimapur, Nagaland 797113","Razphie Village, Lengrijan",25.906982499999998,93.6955935,ChIJfRqeaibhRTcRl4OiF8YOs-c,https://www.google.com/maps/place/?q=place_id:ChIJfRqeaibhRTcRl4OiF8YOs-c,part_360,2026-09-20 20:18:24
Baruah P.G.,PG,Youth Hostel,Youth Hostel,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,5.0,,"House no.3, DC Colony Rd, opposite of Dc office, Diphu, Assam 782460",782470,25.8371191,93.43385359999999,ChIJS_KHJQDtRTcRmKStjNzq8a8,https://www.google.com/maps/place/?q=place_id:ChIJS_KHJQDtRTcRmKStjNzq8a8,part_360,2026-09-20 20:18:24
Serenity Girls PG,PG,Home Stay,Home Stay,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.0,,"Lengrijan, Dimapur, Nagaland 797112",Lengrijan,25.9072693,93.6949705,ChIJi5fRqWXhRTcRilXMBtoWHuQ,https://www.google.com/maps/place/?q=place_id:ChIJi5fRqWXhRTcRilXMBtoWHuQ,part_360,2026-09-20 20:18:24
The Bliss Boys PG,PG,Home Stay,Home Stay,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.8,,"Supply Rd, near IMC Hall, Fellowship Colony, Dimapur, Nagaland 797112",Fellowship Colony,25.913293,93.7120503,ChIJDfoh4I7hRTcRMMg7dj7UVOg,https://www.google.com/maps/place/?q=place_id:ChIJDfoh4I7hRTcRMMg7dj7UVOg,part_360,2026-09-20 20:18:24
RG Paying Guest Hostel for Girls,PG,Home Stay,Home Stay,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.2,,"VCGR+9J8, near Sarada L.P. School, Taralangso Tiniali, Diphu-Manja, Birala, Diphu, Assam 782460","Taralangso Tiniali, Diphu-Manja",25.875902,93.4415855,ChIJJxpRDgDtRTcRJpBLMEg1anA,https://www.google.com/maps/place/?q=place_id:ChIJJxpRDgDtRTcRJpBLMEg1anA,part_360,2026-09-20 20:18:24
Grace pg (Boys),PG,Student dormitory,"Student dormitory, Lodging",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,4.5,,"WP55+4C5, Landmark Colony, Dimapur, Nagaland 797112",Landmark Colony,25.907759,93.70862129999999,ChIJe2hMZYThRTcRwej7ugritcs,https://www.google.com/maps/place/?q=place_id:ChIJe2hMZYThRTcRwej7ugritcs,part_360,2026-09-20 20:18:24
Boys hub PG,PG,Boys' hostel,Boys' hostel,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 76429 05994,N/A,4.0,,"H.no 96 Lotha colony, Oriental Colony, Dimapur, Nagaland 797112",Oriental Colony,25.901885699999998,93.70539439999999,ChIJQ2UApMrhRTcRrZCWBcBQEeA,https://www.google.com/maps/place/?q=place_id:ChIJQ2UApMrhRTcRrZCWBcBQEeA,part_360,2026-09-20 20:18:24
