business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fellowship Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94360 19328,N/A,4.1,,"125, Fellowship Colony, Dimapur, Nagaland 797113",Fellowship Colony,25.9141709,93.7091957,ChIJd2CpZZvhRTcRsr8YhLWp9oA,https://www.google.com/maps/place/?q=place_id:ChIJd2CpZZvhRTcRsr8YhLWp9oA,part_360,2026-09-20 20:18:06
Nagaon Nursing & Maternity Home,Nursing Home and Maternity Hospital,Hospital,Hospital,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 99544 25651,N/A,3.8,,"No 2, Mullapatty, Haibargaon, Nagaon, Assam 782002",Haibargaon,26.348946599999998,92.6677433,ChIJNZtFxwInRTcRnddaZVUVR5A,https://www.google.com/maps/place/?q=place_id:ChIJNZtFxwInRTcRnddaZVUVR5A,part_360,2026-09-20 20:18:08
Sausaria Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Women's health clinic",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 3672 222 747,N/A,3.7,25.0,"8MX8+HXR, Haibargaon, Nagaon, Assam 782002",Haibargaon,26.3489927,92.6673842,ChIJcyFDwAInRTcRnQR-mWjsxcs,https://www.google.com/maps/place/?q=place_id:ChIJcyFDwAInRTcRnQR-mWjsxcs,part_360,2026-09-20 20:18:08
Maa Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94310 42742,N/A,4.3,,"H4PP+R3G, mithapur bus stand opp gate no 1, Bihari Path, New Bigrahpur, Mithapur, Patna, Bihar 800001","New Bigrahpur, Mithapur",25.5869781,85.1345584,ChIJTZ5423ZY7TkRM0B9t9sj_3I,https://www.google.com/maps/place/?q=place_id:ChIJTZ5423ZY7TkRM0B9t9sj_3I,part_360,2026-09-20 20:18:08
গোহাঁই নাৰ্চিং হোম,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Hospital",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 90855 11156,https://www.gohainnursinghome.com/,4.6,,"E Amolapatty, Nagaon, Assam 782001",782470,26.3563181,92.6886111,ChIJRbhUpSUnRTcRXRUNvEFcTFI,https://www.google.com/maps/place/?q=place_id:ChIJRbhUpSUnRTcRXRUNvEFcTFI,part_360,2026-09-20 20:18:08
Golaghat Nursing Home Pvt Ltd,Nursing Home and Maternity Hospital,Hospital,Hospital,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94355 15715,https://golaghatnursinghome.com/,3.8,,"Jagat Goswami Road, Golaghat, Assam 785621",782470,26.5166956,93.9747853,ChIJTXS6nWWORjcRoxElHqkVVjo,https://www.google.com/maps/place/?q=place_id:ChIJTXS6nWWORjcRoxElHqkVVjo,part_360,2026-09-20 20:18:08
Kumar Nursing Home,Nursing Home and Maternity Hospital,Hospital,"Hospital, Anesthesiologist, Cardiologist, Dermatologist, Obstetrician-gynecologist, Oncologist, Pediatric ophthalmologist, Surgeon, Urologist",782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 93959 52121,https://kumarnursinghome.in/,4.2,,"5PCM+QF5, KR Choudhury Road, Kamrup Dist, Kumarpara, Bharalumukh, Guwahati, Assam 781009","Kumarpara, Bharalumukh",26.1713168,91.7345718,ChIJA6bRn8pbWjcRQECSqHXEdRU,https://www.google.com/maps/place/?q=place_id:ChIJA6bRn8pbWjcRQECSqHXEdRU,part_360,2026-09-20 20:18:08
KG Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 94350 50819,N/A,3.0,,"P6X2+4RC, Kamarbandha Rd, Kushal Nagar, Tarajan, Jorhat, Assam 785001","Kushal Nagar, Tarajan",26.747819999999997,94.202005,ChIJ5yVW5o_CRjcRmbxG0NmJawQ,https://www.google.com/maps/place/?q=place_id:ChIJ5yVW5o_CRjcRmbxG0NmJawQ,part_360,2026-09-20 20:18:08
Dew Care Hospital LLP,Nursing Home and Maternity Hospital,Hospital,Hospital,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88228 28698,https://dewcarehospitals.com/,3.9,,"NH 15, Burigaon, Balugaon, Assam 784115",782470,26.540191699999998,92.1726193,ChIJ1UKhL74jWzcRzebZDZXl5gc,https://www.google.com/maps/place/?q=place_id:ChIJ1UKhL74jWzcRzebZDZXl5gc,part_360,2026-09-20 20:18:08
Debsons Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 70860 65407,http://debsonsnursinghome.org/,3.5,,"C2QJ+529, Kowar Para, Assam 784125",782470,26.4379146,92.0301211,ChIJn4NPUaYdWzcR8mJHQGNeNYs,https://www.google.com/maps/place/?q=place_id:ChIJn4NPUaYdWzcR8mJHQGNeNYs,part_360,2026-09-20 20:18:08
