business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vedbharati Edutech Pvt Ltd.,Educational Consultant,Educational consultant,"Educational consultant, Education center, Educational institution",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 81475 36074,https://vedbharatiedutech.com/,5.0,1.0,"At: Naranpur, Post:, Belgachia, Trisulia, Kataka, Odisha 754005","Post:, Belgachia",20.4309545,85.8476797,ChIJ9efgTFMPGToRt9G7L7cKgkA,https://www.google.com/maps/place/?q=place_id:ChIJ9efgTFMPGToRt9G7L7cKgkA,part_351,2026-09-20 20:18:23
DPKlass,Educational Consultant,Educational consultant,"Educational consultant, Service establishment",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 95474 89908,N/A,,,"DPKlass, 764047, India",764047,40.266869,-47.802320699999996,ChIJ63MISCjcjQgRHV4tXjILZyI,https://www.google.com/maps/place/?q=place_id:ChIJ63MISCjcjQgRHV4tXjILZyI,part_351,2026-09-20 20:18:23
"BEO, Malkangiri",Educational Consultant,Educational consultant,Educational consultant,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 6861 231 321,N/A,4.0,1.0,"9V3V+622, Malkangiri, Goreguda, Odisha 764045",764047,18.353006999999998,81.8925213,ChIJIYFedmGTMDoRJD0Hwz5npf8,https://www.google.com/maps/place/?q=place_id:ChIJIYFedmGTMDoRJD0Hwz5npf8,part_351,2026-09-20 20:18:23
DPEP/SSA OFFICE,Educational Consultant,Educational consultant,Educational consultant,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,4.0,1.0,"9V2P+MJV, DPO,SSA, Malkangiri, Goreguda, Odisha 764048",764047,18.3517313,81.8865371,ChIJF5VCuF-TMDoRY7L8IMDrxAc,https://www.google.com/maps/place/?q=place_id:ChIJF5VCuF-TMDoRY7L8IMDrxAc,part_351,2026-09-20 20:18:23
AcharyaDrona Edu World – Admission Consultancy,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Consultant, Education center, Educational institution, Educational testing service, Student career counseling office",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 91144 39351,http://www.acharyadrona.com/,4.9,138.0,"Plot K3B/541,1st Floor,Ghatikia Main Road Near Saraswati Sishu Mandir,Ghatikia, Kalinganagar, Bhubaneswar, Odisha 751003","K8 Kalinga Nagar, Kalinganagar",20.2744493,85.7683966,ChIJbflKvpYJGToR9giTSzfJFHY,https://www.google.com/maps/place/?q=place_id:ChIJbflKvpYJGToR9giTSzfJFHY,part_351,2026-09-20 20:18:24
SIMT ACADEMY,Educational Consultant,Educational consultant,Educational consultant,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 99379 60073,http://www.simtacademy.com/,4.9,28.0,"NAYAHAT-KAKATPUR ROAD, Nayahat, Nua Hata, Odisha 752107",764047,20.0267891,86.1495224,ChIJHbmTb2ePGToR_DmZIW7qx0c,https://www.google.com/maps/place/?q=place_id:ChIJHbmTb2ePGToR_DmZIW7qx0c,part_351,2026-09-20 20:18:24
Accurate Education Services,Educational Consultant,Educational consultant,Educational consultant,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 93349 71528,N/A,5.0,71.0,"Room no-109, 1st Floor, Shri Ram Plaza, Bank More, Dhanbad, Jharkhand 826007",Bank More,23.7868834,86.4184927,ChIJJUQFrcy89jkR1taGlqgBuSY,https://www.google.com/maps/place/?q=place_id:ChIJJUQFrcy89jkR1taGlqgBuSY,part_351,2026-09-20 20:18:24
ONE WORLD ACADEMY,Educational Consultant,Educational consultant,"Educational consultant, College, Distance Learning Center",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 78735 05152,N/A,4.6,34.0,"Plot No.1360, HB Colony, Phase II, Dumduma, Bhubaneswar, Odisha 751019","HB Colony, Phase II, Dumduma",20.2394604,85.7883332,ChIJvRRvynKnGToRC7cVF6rh-NE,https://www.google.com/maps/place/?q=place_id:ChIJvRRvynKnGToRC7cVF6rh-NE,part_351,2026-09-20 20:18:24
HARDINI DYNAMICS PVT.LTD.,Educational Consultant,Educational consultant,Educational consultant,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,https://www.hardinidynamics.com/,5.0,,"Aryan nagar, PLOT NO.-233, Sundarpada, Bhubaneswar, Balabhadrapur, Odisha 751002",Sundarpada,20.2150826,85.8091378,ChIJZUTYOaWnGToRWCZr5zGRFv4,https://www.google.com/maps/place/?q=place_id:ChIJZUTYOaWnGToRWCZr5zGRFv4,part_351,2026-09-20 20:18:25
TimesEduLeader,Educational Consultant,Educational consultant,Educational consultant,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 674 355 9819,N/A,5.0,,"3rd Floor, Janaki Bhawan, A102, Nuasahi, Nayapalli, Bhubaneswar, Odisha 751012","Nuasahi, Nayapalli",20.2841827,85.8204653,ChIJAQAAANkJGToRfUeS9ALO400,https://www.google.com/maps/place/?q=place_id:ChIJAQAAANkJGToRfUeS9ALO400,part_351,2026-09-20 20:18:25
