business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dillai Govt. L.P .school,School,General education school,General education school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",+91 88226 32046,N/A,,,"11th miles, Assam 782470",782470,25.943444,93.6009012,ChIJDTWwjErnRTcRDk1nxcpN4Jo,https://www.google.com/maps/place/?q=place_id:ChIJDTWwjErnRTcRDk1nxcpN4Jo,part_360,2026-09-20 20:18:25,3818
Nahorjan LP School,School,Elementary school,Elementary school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"WM57+GVJ, Assam 782470",782470,25.908842,93.664639,ChIJ8wojUADhRTcRL6fwJCAtVvQ,https://www.google.com/maps/place/?q=place_id:ChIJ8wojUADhRTcRL6fwJCAtVvQ,part_360,2026-09-20 20:18:25,3819
No1 Langtibuk L.P School,School,Elementary school,Elementary school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"AH1, Assam 782470",782470,25.9379286,93.60304359999999,ChIJM6G2aqrnRTcRDu5YvaUwqrE,https://www.google.com/maps/place/?q=place_id:ChIJM6G2aqrnRTcRDu5YvaUwqrE,part_360,2026-09-20 20:18:25,3820
Upper Dikrong L.P.School,School,Elementary school,Elementary school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"WHWH+53M, Diphu, Assam 782470",782470,25.9454605,93.5776601,ChIJbdlBPgDpRTcR6LnXFZfgSlE,https://www.google.com/maps/place/?q=place_id:ChIJbdlBPgDpRTcR6LnXFZfgSlE,part_360,2026-09-20 20:18:25,3821
San Francesco School,School,Primary school,Primary school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,http://sanfrancescoschool.com/,,,"Mensing Teron/Thong, Timung Village, Hapjan, Upper Dilaji, Diphu, Assam 782462","Timung Village, Hapjan, Upper Dilaji",25.913338699999997,93.4841429,ChIJOxDRHJDzRTcRCOsYxvuEAGo,https://www.google.com/maps/place/?q=place_id:ChIJOxDRHJDzRTcRCOsYxvuEAGo,part_360,2026-09-20 20:18:25,3822
Daldali Garo Basti English L.P School,School,Elementary school,Elementary school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"RGF5+7MP, Monsing Timung, Assam 782470",782470,25.8232048,93.50921679999999,ChIJsbJKOVbvRTcR2gIfGQNgYCc,https://www.google.com/maps/place/?q=place_id:ChIJsbJKOVbvRTcR2gIfGQNgYCc,part_360,2026-09-20 20:18:25,3823
Dayaram Diphusa School,School,General education school,General education school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"QHMV+PX5, Dhanshri Linapar, Assam 782470",782470,25.784274,93.5949699,ChIJSU-14hL7RTcRFoETRtPmKaU,https://www.google.com/maps/place/?q=place_id:ChIJSU-14hL7RTcRFoETRtPmKaU,part_360,2026-09-20 20:18:25,3824
No.2 Langtibuk LP school,School,Primary school,Primary school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"WJPG+72R, Langtibuk, Assam 782470",782470,25.9357279,93.6250038,ChIJgUbhbkXnRTcR45yHlm5RSQU,https://www.google.com/maps/place/?q=place_id:ChIJgUbhbkXnRTcR45yHlm5RSQU,part_360,2026-09-20 20:18:25,3825
Kovebir Langso LP School,School,Primary school,Primary school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"WGMQ+X6R, Sarthe Engti, Assam 782470",782470,25.9349983,93.5380127,ChIJBSU2sFrpRTcRqSgifihZogM,https://www.google.com/maps/place/?q=place_id:ChIJBSU2sFrpRTcRqSgifihZogM,part_360,2026-09-20 20:18:25,3826
Upper Hapjan ME School,School,Elementary school,Elementary school,782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O",N/A,N/A,,,"WG96+6V8, Sarthe Engti, Assam 782470",782470,25.9180437,93.51219549999999,ChIJY0DDBRvpRTcR5v2km6IJt5Q,https://www.google.com/maps/place/?q=place_id:ChIJY0DDBRvpRTcR5v2km6IJt5Q,part_360,2026-09-20 20:18:25,3827
