business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GREEN HOUSE LODGE,Guesthouse,Lodge,"Lodge, Guest house, Hotel",768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 82601 01793,http://greenhouselodge.simdif.com/,4.0,54.0,"INFRONT OF, RAILWAY PLATFORM, JOGESWAR NAGAR (JOGIMUNDA, Barapali Town, Odisha 768029",768045,21.183823699999998,83.5961596,ChIJ_WqutktNIToR5zSBq8n6bkc,https://www.google.com/maps/place/?q=place_id:ChIJ_WqutktNIToR5zSBq8n6bkc,part_354,2026-09-20 20:18:24,3901
Sri shyam Bhawan,Guesthouse,Lodge,Lodge,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,4.9,10.0,"FG8M+QXW, Bhatli, Odisha 768030",768045,21.466999299999998,83.5349378,ChIJ-fZtn2nMJjoRx_JAzzLu2FE,https://www.google.com/maps/place/?q=place_id:ChIJ-fZtn2nMJjoRx_JAzzLu2FE,part_354,2026-09-20 20:18:24,3902
Uphar Lodge,Guesthouse,Hotel,Hotel,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 63703 46231,N/A,3.8,57.0,"railway station road, Barapali Town, Odisha 768029",768045,21.1862562,83.59527419999999,ChIJE34WpSxNIToR6dCgv6lVqAo,https://www.google.com/maps/place/?q=place_id:ChIJE34WpSxNIToR6dCgv6lVqAo,part_354,2026-09-20 20:18:24,3903
ARADHYA GUEST HOUSE(Dormitory),Guesthouse,Hotel,Hotel,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 88952 58921,http://www.aradhyaguesthousebgr.com/,4.7,303.0,"Rajendra college chowk, koshal nagar, behind SBIADB BANK, Balangir, Odisha 767002",768045,20.7072893,83.4731029,ChIJ6ytylTgPJDoRDP6peo788_Y,https://www.google.com/maps/place/?q=place_id:ChIJ6ytylTgPJDoRDP6peo788_Y,part_354,2026-09-20 20:18:24,3904
HOTEL JAYASINGH,Guesthouse,Lodge,Lodge,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,N/A,3.2,26.0,"Shop No 14, 1st Floor, Jai Singh Complex, NH46, Bhatli Chowk, near Maa Kali Mandir, Bargarh, Odisha 768028",768045,21.3430501,83.6089868,ChIJhWbRe6NLIToRz1_okvDLGc8,https://www.google.com/maps/place/?q=place_id:ChIJhWbRe6NLIToRz1_okvDLGc8,part_354,2026-09-20 20:18:24,3905
Sai Krishna Palace,Guesthouse,Hotel,Hotel,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",+91 98612 49145,N/A,3.9,,"Old Asian Highway 46, Bargarh, Odisha 768028",768045,21.342675099999997,83.6189191,ChIJ59tV_5lKIToRcW5RANrUsdw,https://www.google.com/maps/place/?q=place_id:ChIJ59tV_5lKIToRcW5RANrUsdw,part_354,2026-09-20 20:18:25,3906
Sonalika - Patra Enterprises,Guesthouse,Tractor dealer,Tractor dealer,768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O",N/A,https://dealers.sonalika.com/sonalika-patra-enterprises-tractor-dealer-bharatpur-road-sambalpur-586326/Home?utm_source=locator&utm_medium=googleplaces,,,"Plot No 150/1857, Bharatpur Road, in front of Mayur Hotel, Sambalpur, Pardhiapali, Odisha 768006",768045,21.511148,84.018335,ChIJicIk_l4RIToRsyR8LltjiAk,https://www.google.com/maps/place/?q=place_id:ChIJicIk_l4RIToRsyR8LltjiAk,part_354,2026-09-20 20:18:26,3907
SAI GUEST HOUSE,Guesthouse,Lodge,Lodge,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",+91 98279 00152,N/A,4.7,106.0,"near HIGH SCHOOL CHOWK, Dunguripali, Lariabahal, Odisha 767023",768048,21.049281699999998,83.5521938,ChIJHf_vQxWrJjoRHnTtFcDJWqc,https://www.google.com/maps/place/?q=place_id:ChIJHf_vQxWrJjoRHnTtFcDJWqc,part_354,2026-09-20 20:19:08,9545
Dakbangla(IB) guest house,Guesthouse,Guest house,Guest house,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,2.7,3.0,"5HWP+8JH, Canal Rd, Badgaon, Odisha 768029",768048,21.1958214,83.5866029,ChIJIbEOKi2zJjoRWHhvagfCh64,https://www.google.com/maps/place/?q=place_id:ChIJIbEOKi2zJjoRWHhvagfCh64,part_354,2026-09-20 20:19:08,9546
Rinku House,Guesthouse,Lodge,Lodge,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,5.0,2.0,"4G26+4G4, Bandhumunda, Odisha 768029",768048,21.099816699999998,83.51136559999999,ChIJ5yllnaqtJjoReT4Ib9KHhTk,https://www.google.com/maps/place/?q=place_id:ChIJ5yllnaqtJjoReT4Ib9KHhTk,part_354,2026-09-20 20:19:08,9547
Upendra and Rabindra House,Guesthouse,Lodge,Lodge,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,5.0,3.0,"3GX6+G3H, Bandhumunda, Odisha 768029",768048,21.0987713,83.5091544,ChIJ0clrKRatJjoRsZAkM70oS6g,https://www.google.com/maps/place/?q=place_id:ChIJ0clrKRatJjoRsZAkM70oS6g,part_354,2026-09-20 20:19:08,9548
Shree Om Lodge,Guesthouse,Hotel,Hotel,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",+91 86583 00930,N/A,,,"Shri Om Lodge, Rampur Road, Cherupali, Lariabahal, Odisha 767023",768048,21.0446083,83.5527749,ChIJOf3lwMCrJjoRuHPDlf_kBXQ,https://www.google.com/maps/place/?q=place_id:ChIJOf3lwMCrJjoRuHPDlf_kBXQ,part_354,2026-09-20 20:19:08,9549
Shri datta panda house,Guesthouse,Lodge,Lodge,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,4.0,2.0,"8C24+278, Sohela, Odisha 768033",768048,21.3000079,83.40702399999999,ChIJnx3YNQC5JjoRYz_x74McaF4,https://www.google.com/maps/place/?q=place_id:ChIJnx3YNQC5JjoRYz_x74McaF4,part_354,2026-09-20 20:19:08,9550
sukhsagar family reastaaurant,Guesthouse,Hotel,Hotel,768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O",N/A,N/A,3.8,17.0,"WG87+QRX, Bhalumunda, Nagaon, Odisha 767020",768048,20.9169877,83.51461189999999,ChIJNeImaNwBJDoR0hsw7vTKJkY,https://www.google.com/maps/place/?q=place_id:ChIJNeImaNwBJDoR0hsw7vTKJkY,part_354,2026-09-20 20:19:08,9551
Chiroli Guest House,Guesthouse,Guest house,Guest house,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",N/A,N/A,3.9,,"X2RW+4R5, SH 3, Irrigation Colony, Odisha 768036",Irrigation Colony,20.990260499999998,83.04711139999999,ChIJbwIAKvuCJjoRhkF-Q5wkbVw,https://www.google.com/maps/place/?q=place_id:ChIJbwIAKvuCJjoRhkF-Q5wkbVw,part_354,2026-09-20 20:19:52,12544
Padmabati Lodge & Mandap,Guesthouse,Lodge,Lodge,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 99378 66121,N/A,3.9,,"Shakti bihar, Padmapur, Padmapur Town, Odisha 768036",768049,21.002574199999998,83.0621513,ChIJAac-RTODJjoRqnypd_F3ahE,https://www.google.com/maps/place/?q=place_id:ChIJAac-RTODJjoRqnypd_F3ahE,part_354,2026-09-20 20:19:52,12545
Marwadi Dharamsala,Guesthouse,Lodge,Lodge,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",N/A,N/A,3.7,,"X3XC+C6M, Gaisilat Rd, Padmapur, Padmapur Town, Odisha 768036",768049,20.998580699999998,83.0705351,ChIJi5fAY3CDJjoRQ2qzIyQa5MY,https://www.google.com/maps/place/?q=place_id:ChIJi5fAY3CDJjoRQ2qzIyQa5MY,part_354,2026-09-20 20:19:52,12546
PARMESWARI LODGE,Guesthouse,Lodging,Lodging,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 97776 89777,N/A,3.5,,"Padmapur, Padmapur Town, Odisha 768036",768049,21.001523499999998,83.06156089999999,ChIJ-7Bz3NeCJjoRxnMIWUmWsT4,https://www.google.com/maps/place/?q=place_id:ChIJ-7Bz3NeCJjoRxnMIWUmWsT4,part_354,2026-09-20 20:19:52,12547
"Mukta Lodge and Restaurant , Padampur",Guesthouse,Hotel,"Hotel, Lodge",768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",+91 89176 09903,N/A,3.6,,"Bargarh road, near Indian bank, Padmapur, Padmapur Town, Odisha 768036",768049,20.999832899999998,83.0707942,ChIJVRcWWwCDJjoRgpI6p672pTE,https://www.google.com/maps/place/?q=place_id:ChIJVRcWWwCDJjoRgpI6p672pTE,part_354,2026-09-20 20:19:52,12548
Sargibahal,Guesthouse,Hotel,Hotel,768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O",N/A,N/A,5.0,,"353M+MGQ, Sargibahal, Dholbandha, Odisha 768049",768049,21.054209099999998,83.1838652,ChIJ3z6ZbQCZJjoR_lTCQQtmRq4,https://www.google.com/maps/place/?q=place_id:ChIJ3z6ZbQCZJjoR_lTCQQtmRq4,part_354,2026-09-20 20:19:53,12549
"Forest Guest House, Harishankar",Guesthouse,Guest house,Guest house,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,4.3,,"RVX7+W75, Gandhamardan Parvat, Dudungdarha, Odisha 767028",768050,20.8494234,82.8633528,ChIJ-Z8BtiTTJToRSN3zCIqrr_w,https://www.google.com/maps/place/?q=place_id:ChIJ-Z8BtiTTJToRSN3zCIqrr_w,part_354,2026-09-20 20:20:34,14965
OTDC(Odisha Tourism Development Corporation) Guest House,Guesthouse,Holiday apartment rental,Holiday apartment rental,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,3.0,,"VRWF+HQR, Manbhang, Odisha 768039",768050,20.8964538,82.8244515,ChIJR135_OzVJToRONI_fKDLfPE,https://www.google.com/maps/place/?q=place_id:ChIJR135_OzVJToRONI_fKDLfPE,part_354,2026-09-20 20:20:34,14966
Wayside Amenity Centre,Guesthouse,Guest house,Guest house,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,4.1,,"PHQF+CWM, Gobara, Odisha 766105",768050,20.7385804,82.57480269999999,ChIJF3VwdczDJToR5giCVCd6clo,https://www.google.com/maps/place/?q=place_id:ChIJF3VwdczDJToR5giCVCd6clo,part_354,2026-09-20 20:20:34,14967
bhupen brand,Guesthouse,Guest house,Guest house,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,3.7,,"WJRG+R43, Kuliabandha, Biromal, Odisha 766104",768050,20.9420209,82.6252975,ChIJKWdB9OF1JjoREebQTnG-FZk,https://www.google.com/maps/place/?q=place_id:ChIJKWdB9OF1JjoREebQTnG-FZk,part_354,2026-09-20 20:20:34,14968
Guest House near Railway station Harishankar road,Guesthouse,Hotel,Hotel,768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O",N/A,N/A,3.2,,"JQF7+QJ8, Main Road, Harishankar Road, Lathor, Odisha 767038",768050,20.6244107,82.76407189999999,ChIJpWm44-7IJToRGx6IfY-Mwpw,https://www.google.com/maps/place/?q=place_id:ChIJpWm44-7IJToRGx6IfY-Mwpw,part_354,2026-09-20 20:20:35,14969
Anand guest house,Guesthouse,Hotel,"Hotel, Lodge",768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",+91 77499 90333,N/A,5.0,,"Rto chowk, Palace Line, Balangir, Odisha 767001",Palace Line,20.6889917,83.4706793,ChIJ_-h1WQAPJDoRiVZUkCyXGrE,https://www.google.com/maps/place/?q=place_id:ChIJ_-h1WQAPJDoRiVZUkCyXGrE,part_354,2026-09-20 20:21:17,17026
Wonderfull inn,Guesthouse,Lodging,Lodging,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,4.3,,"9Q95+VFJ, opp. ram gopal engineering, Attabira, Odisha 768053",768052,21.369715,83.75863059999999,ChIJ9YhFfvA3IToRWGljCxKBDNg,https://www.google.com/maps/place/?q=place_id:ChIJ9YhFfvA3IToRWGljCxKBDNg,part_354,2026-09-20 20:21:17,17027
Keshaba Padhan house,Guesthouse,Hotel,Hotel,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,5.0,,"QJHQ+4FG, Sukhadihi, Katarbaga, Odisha 768226",768052,21.7778168,83.638712,ChIJ2bGfaNbVIDoRotiTZ3hUk7s,https://www.google.com/maps/place/?q=place_id:ChIJ2bGfaNbVIDoRotiTZ3hUk7s,part_354,2026-09-20 20:21:19,17028
ସୁଦାମ ବାବୁର୍ ଖଲା,Guesthouse,Farmstay,Farmstay,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,5.0,,"FMMR+JJ, Ghanghati, Odisha 768038",768052,21.4840625,83.69156249999999,ChIJT4sQaAAxIToRRbHlBZ-XEKg,https://www.google.com/maps/place/?q=place_id:ChIJT4sQaAAxIToRRbHlBZ-XEKg,part_354,2026-09-20 20:21:19,17029
UBHS Palsada,Guesthouse,Hotel,Hotel,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,,,"QJG2+HHR, Jharupada, Odisha 768226",768052,21.776487499999998,83.6013906,ChIJjRoHfgDVIDoRFFINpadW7k8,https://www.google.com/maps/place/?q=place_id:ChIJjRoHfgDVIDoRFFINpadW7k8,part_354,2026-09-20 20:21:19,17030
Chakramal,Guesthouse,Cottage village,Cottage village,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,3.8,,"MJ2M+PX6, Khola Village Rd, Lakhanpur, Odisha 768052",768052,21.6517786,83.634877,ChIJyT2SuRQrIToR7xOZWAgNpRQ,https://www.google.com/maps/place/?q=place_id:ChIJyT2SuRQrIToR7xOZWAgNpRQ,part_354,2026-09-20 20:21:19,17031
Bikash jal,Guesthouse,Hotel,Hotel,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,,,"GG9G+J36, Bargarh-Ambabhona Rd, Kharsal, Odisha 768030",768052,21.519035799999997,83.525133,ChIJayb2UADNJjoRxtBfMhV0etg,https://www.google.com/maps/place/?q=place_id:ChIJayb2UADNJjoRxtBfMhV0etg,part_354,2026-09-20 20:21:19,17032
Hotel mukesh,Guesthouse,Breakfast restaurant,Breakfast restaurant,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,3.0,,"Main Rd, Odisha 768052",768052,21.6909842,83.5591656,ChIJGz4icQDVJjoRSuL3yh0426E,https://www.google.com/maps/place/?q=place_id:ChIJGz4icQDVJjoRSuL3yh0426E,part_354,2026-09-20 20:21:19,17033
Gopinath padhan,Guesthouse,Hotel,Hotel,768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O",N/A,N/A,5.0,,"QG68+Q69, Panchgaon, Odisha 768226",Panchgaon,21.761912499999998,83.5156094,ChIJhxfIDwArJzoRQD5m5b3X_r0,https://www.google.com/maps/place/?q=place_id:ChIJhxfIDwArJzoRQD5m5b3X_r0,part_354,2026-09-20 20:21:19,17034
Sri Laxmi Narsimha Swami VIP Guest House,Guesthouse,Lodging,Lodging,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,N/A,N/A,4.6,19.0,"W3XW+XMW, Dharmapuri, Telangana 505425",768053,18.949977399999998,79.09671259999999,ChIJv-GaxXBBzTsR9m84YrFZMec,https://www.google.com/maps/place/?q=place_id:ChIJv-GaxXBBzTsR9m84YrFZMec,part_354,2026-09-20 20:22:02,22196
Shivam Guest House,Guesthouse,Guest house,Guest house,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 99096 77811,N/A,3.8,214.0,"5H9F+HFG, NH-53, Surat Dhulia Road, Bhadbhuja, Songadh, Gujarat 394670",Bhadbhuja,21.168572599999997,73.5739397,ChIJaeThsh_R3zsRTZErMiZmQCM,https://www.google.com/maps/place/?q=place_id:ChIJaeThsh_R3zsRTZErMiZmQCM,part_354,2026-09-20 20:22:02,22197
Navkar Guest House,Guesthouse,Guest house,Guest house,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 76100 08345,N/A,3.9,120.0,"bus stand, Ratlam - Banswara Rd, Kushalgarh, Rajasthan 327801",768053,23.200283,74.4502851,ChIJJwbH0VgwYTkR9z9w1mDjdig,https://www.google.com/maps/place/?q=place_id:ChIJJwbH0VgwYTkR9z9w1mDjdig,part_354,2026-09-20 20:22:02,22198
Shree Murlidhar Guest House,Guesthouse,Hotel,Hotel,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 99781 75999,N/A,3.8,205.0,"Pachwati complex, 8, Kamrej Rd, near Balaji Farnicher, opp. McDonaldr N.H 48, Surat, Kamrej, Gujarat 394190",768053,21.2740396,72.9557426,ChIJYzi3W7BH4DsR2j7vB8akbS0,https://www.google.com/maps/place/?q=place_id:ChIJYzi3W7BH4DsR2j7vB8akbS0,part_354,2026-09-20 20:22:02,22199
Praj Guest House & A.C. Dormitory,Guesthouse,Guest house,Guest house,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,+91 99094 20100,N/A,4.0,166.0,"Gulam Baba Mill Compound, Shop No. 105, 107, 110, 111, Sheetal Complex, Station Road, Opposite Railway Station, Surat, Gujarat 395003","Lal Darwaja, Varachha",21.205707999999998,72.8391908,ChIJEdRqWvdO4DsRs1n7H5Ee5DE,https://www.google.com/maps/place/?q=place_id:ChIJEdRqWvdO4DsRs1n7H5Ee5DE,part_354,2026-09-20 20:22:02,22200
Green Valley guest house,Guesthouse,Guest house,Guest house,768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO,N/A,N/A,3.8,40.0,"5R37+P58 Royal Enfield showroom, Amethi - Durgapur Rd, Amethi, Kherauna, Uttar Pradesh 227405",768053,26.154289199999997,81.8129647,ChIJeYQWH9v1mjkRi_M6CS4w16Q,https://www.google.com/maps/place/?q=place_id:ChIJeYQWH9v1mjkRi_M6CS4w16Q,part_354,2026-09-20 20:22:02,22201
