business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
INTERIOR SHOPPE,Interior Designers,Interior designer,"Interior designer, Interior Decorator",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70990 46411,N/A,4.9,150.0,"Interior Shoppe, Opposite Union Bank Of India Lal Ganesh, Lokhra Rd, Lokhra, Guwahati, Assam 781040",Lokhra,26.1145252,91.7487238,ChIJjan4VNddWjcREmUEMzg-hfs,https://www.google.com/maps/place/?q=place_id:ChIJjan4VNddWjcREmUEMzg-hfs,part_357,2026-09-20 20:18:19,3706
Blue Isle Interiors Pvt. Ltd.,Interior Designers,Interior designer,Interior designer,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 81340 30018,https://www.blueisleinteriors.com/,4.9,46.0,"H, 14(B, Nagarik Path, Milan Nagar, Guwahati, Assam 781038",Milan Nagar,26.1240307,91.7731153,ChIJCZxPAi91E0kR0-ZNOo-o7pg,https://www.google.com/maps/place/?q=place_id:ChIJCZxPAi91E0kR0-ZNOo-o7pg,part_357,2026-09-20 20:18:19,3707
MR INTERIOR DESIGNS,Interior Designers,Interior designer,Interior designer,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 97061 50177,https://www.indiamart.com/mr-interior-designs-guwahati/,5.0,29.0,"near Hero Showroom, Lalmati, Guwahati, Assam 781029",Lalmati,26.1110008,91.7820746,ChIJt2Jmv4JfWjcRWCBhp_Dj05M,https://www.google.com/maps/place/?q=place_id:ChIJt2Jmv4JfWjcRWCBhp_Dj05M,part_357,2026-09-20 20:18:19,3708
Atelier Meraki : Interior Designing,Interior Designers,Interior designer,"Interior designer, Interior Decorator",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70027 99155,https://www.facebook.com/ateliermeraki07,4.9,453.0,"Near Meghdoot Cinema Hall, Paltan Bazaar, Guwahati, Assam 781008","PWD Colony, Paltan Bazaar",26.1789646,91.7484174,ChIJ_QluHixaWjcRE1VNrP7ZD9k,https://www.google.com/maps/place/?q=place_id:ChIJ_QluHixaWjcRE1VNrP7ZD9k,part_357,2026-09-20 20:18:19,3709
Aajii Luxury Interiors,Interior Designers,Interior designer,"Interior designer, Bathroom remodeler, Cabinet maker, Ceiling supplier, Interior architect office, Interior construction contractor, Interior Decorator, Interior fitting contractor, Kitchen remodeler, Office refurbishment service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60008 93177,https://aajii.in/,4.6,68.0,"Seuji path, Hatigaon Main Rd, Guwahati, Assam 781038",Basisthpur,26.1373216,91.7863374,ChIJJeMMkwxZWjcRg-wd2EoXzEg,https://www.google.com/maps/place/?q=place_id:ChIJJeMMkwxZWjcRg-wd2EoXzEg,part_357,2026-09-20 20:18:19,3710
NJ Design Studio - Interior Designer in Guwahati,Interior Designers,Interior designer,"Interior designer, Architectural designer, Home improvement store, Interior architect office, Interior construction contractor, Interior Decorator, Kitchen remodeler",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70990 24213,https://njdesignstudio.co.in/,5.0,67.0,"6th Floor, Protech Centre, GS Rd, GMC Ward Number 44, Ganeshguri, Guwahati, Assam 781006","GMC Ward Number 44, Ganeshguri",26.1493154,91.7865413,ChIJW5Z8eXdZWjcRrZm2If05-BE,https://www.google.com/maps/place/?q=place_id:ChIJW5Z8eXdZWjcRrZm2If05-BE,part_357,2026-09-20 20:18:19,3711
Khanal interior,Interior Designers,Interior designer,"Interior designer, Interior fitting contractor",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 93874 39580,N/A,5.0,8.0,"Dakshingaon, Guwahati, Assam 781040",Dakshingaon,26.1210617,91.74973589999999,ChIJJ1X1QxRdWjcRyB6OCZAJ4QA,https://www.google.com/maps/place/?q=place_id:ChIJJ1X1QxRdWjcRyB6OCZAJ4QA,part_357,2026-09-20 20:18:19,3712
Style Perfect Interiors,Interior Designers,Interior designer,"Interior designer, Architectural designer, Furniture maker, Interior architect office, Interior construction contractor, Interior Decorator, Interior fitting contractor, Kitchen remodeler",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 97069 53792,https://styleperfectinteriors.com/,5.0,43.0,"H, 3, Seuji Path, near Indian oil patrol pump Wireless, Wireless, Dispur, Basisthpur, Guwahati, Assam 781028","Wireless, Dispur, Basisthpur",26.135075699999998,91.7914335,ChIJpf9_YhRZWjcRdtGFaPei48U,https://www.google.com/maps/place/?q=place_id:ChIJpf9_YhRZWjcRdtGFaPei48U,part_357,2026-09-20 20:18:19,3713
Royals Home Solution,Interior Designers,Interior designer,Interior designer,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 86389 51429,N/A,5.0,11.0,"Dakhingaon Sawkuchi Road, Guwahati, Assam 781019, Guwahati, Assam 781005","DakhinGaon, Kahilipara",26.127730099999997,91.7595358,ChIJ9YrJyLBZWjcRkKcVtRIoqVY,https://www.google.com/maps/place/?q=place_id:ChIJ9YrJyLBZWjcRkKcVtRIoqVY,part_357,2026-09-20 20:18:19,3714
MAC Designs,Interior Designers,Interior designer,"Interior designer, Architect, Service establishment, Landscape designer, Vastu consultant",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 86382 95562,https://www.facebook.com/MAC.Designs.shristi/,4.9,113.0,"MAC Designs, 781040, India",781040,26.172933099999998,91.7400388,ChIJQwvURn5ZWjcRU2QGqp6Vxcg,https://www.google.com/maps/place/?q=place_id:ChIJQwvURn5ZWjcRU2QGqp6Vxcg,part_357,2026-09-20 20:18:19,3715
