business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Siddhi Vinayak South Indian Tiffin,South Indian Restaurant,Breakfast restaurant,"Breakfast restaurant, Tiffin Service Provider, South Indian restaurant, Vegetarian restaurant",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 97767 73967,N/A,3.8,,"56P8+FW9, Kesinga, Odisha 766012",766011,20.186157599999998,83.2173452,ChIJ24O3OXD1JDoR-aqJWIBFUfc,https://www.google.com/maps/place/?q=place_id:ChIJ24O3OXD1JDoR-aqJWIBFUfc,part_352,2026-09-20 20:18:01
Malaya Dosa Center,South Indian Restaurant,Restaurant,Restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 96587 53478,N/A,4.0,,"Jeypore-Bhawanipatna Hwy, Chanchara Para, Bhawanipatna, Odisha 766001",Chanchara Para,19.9058189,83.1611288,ChIJ8a4hP1vpJDoRynRlMovrE4Q,https://www.google.com/maps/place/?q=place_id:ChIJ8a4hP1vpJDoRynRlMovrE4Q,part_352,2026-09-20 20:18:01
South Indian Tiffen Center,South Indian Restaurant,Breakfast restaurant,Breakfast restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 78548 88454,N/A,4.0,,"Rupra Rd, near Jagannath Mandir, Bhimkela, Odisha 766101",766011,20.1440213,83.34773349999999,ChIJ36FGegCJJDoRAE57zd5CyYU,https://www.google.com/maps/place/?q=place_id:ChIJ36FGegCJJDoRAE57zd5CyYU,part_352,2026-09-20 20:18:01
South Indian,South Indian Restaurant,Fast food restaurant,Fast food restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 79789 10272,N/A,5.0,,"Kesinga Road, Bhawanipatna, Bhejipadar, Odisha 766002",766011,19.935255899999998,83.1716806,ChIJ8V9VFj3tJDoRc12dQH3dq5o,https://www.google.com/maps/place/?q=place_id:ChIJ8V9VFj3tJDoRc12dQH3dq5o,part_352,2026-09-20 20:18:01
MK south Indian Hotel,South Indian Restaurant,Dhaba,Dhaba,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,3.5,,"74MQ+FWF, Titilagarh, Odisha 767042",766011,20.283688299999998,83.1398122,ChIJp0C9DjJZJDoRHPwQ4H_RMls,https://www.google.com/maps/place/?q=place_id:ChIJp0C9DjJZJDoRHPwQ4H_RMls,part_352,2026-09-20 20:18:01
SS FAMILY RESTAURANT & DHABA,South Indian Restaurant,Family restaurant,"Family restaurant, Dhaba",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 95565 87855,N/A,3.5,,"Ghugurpala, Chahagaon, Odisha 766011",766011,20.105265199999998,83.09234719999999,ChIJ2Y9CPW_3JDoRLpSOicoAQdE,https://www.google.com/maps/place/?q=place_id:ChIJ2Y9CPW_3JDoRLpSOicoAQdE,part_352,2026-09-20 20:18:01
Hello Idli South Indian,South Indian Restaurant,Fast food restaurant,Fast food restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 79786 96913,N/A,5.0,,"Medical Road, Pradeshipara, Sambhunagar Pada, Bhawanipatna, Odisha 766001","Pradeshipara, Sambhunagar Pada",19.905120399999998,83.15894019999999,ChIJcw2KOm3pJDoRFW6W-SRwaxk,https://www.google.com/maps/place/?q=place_id:ChIJcw2KOm3pJDoRFW6W-SRwaxk,part_352,2026-09-20 20:18:01
Food 36,South Indian Restaurant,Breakfast restaurant,Breakfast restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70081 19908,N/A,4.3,,"Main road, Junagarh, Odisha 766014",766011,19.8613776,82.9406807,ChIJYW70uyThJDoRdfbwKhMV3Gg,https://www.google.com/maps/place/?q=place_id:ChIJYW70uyThJDoRdfbwKhMV3Gg,part_352,2026-09-20 20:18:01
Royal dosa plaza,South Indian Restaurant,South Indian restaurant,South Indian restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"Gandhi Chowk, Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.9073305,83.1669375,ChIJT7-3YQDrJDoRCL-pbHHYw40,https://www.google.com/maps/place/?q=place_id:ChIJT7-3YQDrJDoRCL-pbHHYw40,part_352,2026-09-20 20:18:01
Cafe chaska,South Indian Restaurant,Restaurant,Restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70085 16445,N/A,4.0,,"VW7V+C5Q, Junagarh, Odisha 766014",766011,19.8635976,82.942985,ChIJHW_EzqXhJDoR8nqw7xWdWbM,https://www.google.com/maps/place/?q=place_id:ChIJHW_EzqXhJDoR8nqw7xWdWbM,part_352,2026-09-20 20:18:01
Om Jai Tiffin Centre,South Indian Restaurant,Breakfast restaurant,"Breakfast restaurant, Tiffin Service Provider",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.1,,"W59F+VMC, Kanakpur, Bhawanipatna, Odisha 766001",Kanakpur,19.9196894,83.17412639999999,ChIJt2x6dAbsJDoRg7YgMPKxrrw,https://www.google.com/maps/place/?q=place_id:ChIJt2x6dAbsJDoRg7YgMPKxrrw,part_352,2026-09-20 20:18:01
Maa Manikeswri South Indian Breakfast Deypur,South Indian Restaurant,Tiffin center,Tiffin center,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"X7C6+9JC, Odisha 766002",766011,19.9709473,83.2615047,ChIJO9cEfwCTJDoRgxqts26R5Dg,https://www.google.com/maps/place/?q=place_id:ChIJO9cEfwCTJDoRgxqts26R5Dg,part_352,2026-09-20 20:18:01
Magnolia Restaurant by Banmali Palace,South Indian Restaurant,Restaurant,Restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 80938 08555,http://www.banmalipalace.in/,4.8,,"218/424, near K V COLLEGE, KUKUDAHAD, Kantabanji, Dhamandanga, Odisha 767039",KUKUDAHAD,20.450629499999998,82.923661,ChIJKWWvqYhNJDoRQQJZlUsK0Ew,https://www.google.com/maps/place/?q=place_id:ChIJKWWvqYhNJDoRQQJZlUsK0Ew,part_352,2026-09-20 20:18:02
Crispy and Spicy,South Indian Restaurant,Indian restaurant,"Indian restaurant, Biryani restaurant, Chinese restaurant, Continental restaurant, Fried chicken takeaway, Pizza restaurant, Pizza delivery, Pizza takeaway",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 63716 52535,N/A,4.2,,"near Satyam Cinema, Hall, Bazarpada, Bhawanipatna, Odisha 766001","Hall, Bazarpada",19.907045699999998,83.16404469999999,ChIJFcjfp0vvJDoR1mCgJ0D2_4c,https://www.google.com/maps/place/?q=place_id:ChIJFcjfp0vvJDoR1mCgJ0D2_4c,part_352,2026-09-20 20:18:02
KALA KANU SOUTH INDIAN CENTRE,South Indian Restaurant,South Indian restaurant,South Indian restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,3.6,,"56M8+P2Q, School Pada Ward number 6, Kesinga, Masani munda, Odisha 766012",School Pada Ward number 6,20.1843413,83.2151149,ChIJFewoEHH1JDoRMFTjqry0yqU,https://www.google.com/maps/place/?q=place_id:ChIJFewoEHH1JDoRMFTjqry0yqU,part_352,2026-09-20 20:18:03
USV's South Indian Restaurant,South Indian Restaurant,South Indian restaurant,South Indian restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94372 73377,N/A,4.1,,"Chandini Chowk, Kataka, Odisha 753002",Chandini Chowk,20.4672598,85.8571971,ChIJ6cLOMf8NGToR_LNk-qMoFM4,https://www.google.com/maps/place/?q=place_id:ChIJ6cLOMf8NGToR_LNk-qMoFM4,part_352,2026-09-20 20:18:03
Suryam's MADRAS Hotel,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94373 10359,N/A,4.3,,"FV86+37W, Nimchouri, Kataka, Odisha 753002",Nimchouri,20.465230299999998,85.8607164,ChIJzTMJD_ENGToRu0iSRUuBLto,https://www.google.com/maps/place/?q=place_id:ChIJzTMJD_ENGToRu0iSRUuBLto,part_352,2026-09-20 20:18:03
Urmi kitchen,South Indian Restaurant,Restaurant,Restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 78479 12995,N/A,4.6,,"Sikharpur, Kataka, Odisha 753003",Sikharpur,20.4679276,85.9064677,ChIJMzD6th8NGToRUA8wjgUu2Zo,https://www.google.com/maps/place/?q=place_id:ChIJMzD6th8NGToRUA8wjgUu2Zo,part_352,2026-09-20 20:18:03
Sri Sai Balaji South Indian Dishes,South Indian Restaurant,South Indian restaurant,South Indian restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 95165 94957,N/A,4.7,,"Gulab Bagh Colony, Indore, Madhya Pradesh 452010",Gulab Bagh Colony,22.7660175,75.9052681,ChIJ6wOfyOUdYzkRLBDhqpuxaYk,https://www.google.com/maps/place/?q=place_id:ChIJ6wOfyOUdYzkRLBDhqpuxaYk,part_352,2026-09-20 20:18:03
Shree Vineeth's,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94371 21991,N/A,3.9,,"FV6J+9R9, Dolomunai Road, Near badambadi Traffic Tower, Dolamundai Rd, Badambadi Colony, Kataka, Odisha 753009",Badambadi Colony,20.4611323,85.88190759999999,ChIJ9e1Q1YQNGToRxd_jr42s2Ro,https://www.google.com/maps/place/?q=place_id:ChIJ9e1Q1YQNGToRxd_jr42s2Ro,part_352,2026-09-20 20:18:03
Jathin Shree South indian food,South Indian Restaurant,South Indian restaurant,South Indian restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 78693 37299,N/A,4.3,,"4, 228-229, opp. Bombay Hospital Service Road, EB Sector, E.B, Scheme No 94 Sector EB, Indore, Madhya Pradesh 452010","EB Sector, E.B, Scheme No 94 Sector EB",22.7559902,75.90508539999999,ChIJI6gfGlQdYzkRLKhEnYadAbw,https://www.google.com/maps/place/?q=place_id:ChIJI6gfGlQdYzkRLKhEnYadAbw,part_352,2026-09-20 20:18:03
Royal Biriyani,South Indian Restaurant,Restaurant,Restaurant,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 99386 60666,N/A,4.4,,"75P6+P6C, NH 59, Radharani Nagar, Nilachakra Nagar, Titilagarh, Odisha 767033","Radharani Nagar, Nilachakra Nagar",20.286786499999998,83.160626,ChIJ39S-XgBZJDoRnPCHCdQGppc,https://www.google.com/maps/place/?q=place_id:ChIJ39S-XgBZJDoRnPCHCdQGppc,part_352,2026-09-20 20:18:03
Shree Dosaram,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Beverage Store, Continental restaurant, Indian restaurant, Restaurant, Vegetarian restaurant",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 62653 21209,https://shree-dosaram.grexa.site/,4.2,,"355 a, near bank of india, Sector A, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010","Sector A, Mahalaxmi Nagar",22.7537454,75.9087435,ChIJ4Y6pDfQdYzkRsHvG3v8PfG0,https://www.google.com/maps/place/?q=place_id:ChIJ4Y6pDfQdYzkRsHvG3v8PfG0,part_352,2026-09-20 20:18:03
