business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KILLER JEANS EXCLUSIVE STORE - KESINGA,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Beach clothing store, Jeans shop, Dress and tuxedo rental service, Clothing Accessories Store, Outlet mall, Shopping mall, T-shirt store, Tuxedo shop, Western apparel store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 89849 64822,https://www.killerjeans.com/,4.9,15.0,"Main Road, near Police Station, Ward Number 3, Kesinga, Odisha 766012",Ward Number 3,20.1901421,83.2215911,ChIJ4_jtZPT1JDoRpYrqYG2UR8s,https://www.google.com/maps/place/?q=place_id:ChIJ4_jtZPT1JDoRpYrqYG2UR8s,part_352,2026-09-20 20:18:04
"Rajlaxmi Menswear,Textile King",Mens Wear Showroom,Clothing store,Clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70082 39605,N/A,4.6,8.0,"56M7+29W, Kesinga, Odisha 766012",766011,20.1826218,83.2134737,ChIJKfBZUXH1JDoRyrCHEW_5FAM,https://www.google.com/maps/place/?q=place_id:ChIJKfBZUXH1JDoRyrCHEW_5FAM,part_352,2026-09-20 20:18:04
Pradhan Garments,Mens Wear Showroom,Men's clothing store,Men's clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70083 63770,N/A,5.0,24.0,"near Old bus stand, Chanchara Para, Bhawanipatna, Odisha 766001",Chanchara Para,19.9044736,83.1613807,ChIJh0hninDpJDoRkbFWUzsPXRc,https://www.google.com/maps/place/?q=place_id:ChIJh0hninDpJDoRkbFWUzsPXRc,part_352,2026-09-20 20:18:04
Ravi mens wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,1.0,"Daily Market Rd, beside pushpa jewelr, Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.9077634,83.16849069999999,ChIJJQTuegvpJDoR75lSB27UKjs,https://www.google.com/maps/place/?q=place_id:ChIJJQTuegvpJDoR75lSB27UKjs,part_352,2026-09-20 20:18:04
Hariom Fashion Apparels,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70779 98880,N/A,4.7,79.0,"Hariom Fashion Apparels, Jain Para, Titilagarh, Odisha 767033",Jain Para,20.288862599999998,83.1525475,ChIJvVGsrllZJDoRhJUC7gM77Kk,https://www.google.com/maps/place/?q=place_id:ChIJvVGsrllZJDoRhJUC7gM77Kk,part_352,2026-09-20 20:18:04
KILLER JEANS EXCLUSIVE STORE - BHAWANIPATNA,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Beach clothing store, Clothing store, Jeans shop, Sportswear store, T-shirt store, Tuxedo shop",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,http://www.killerjeans.com/,4.9,16.0,"Infront Of Trimurti Cloth, Mahavir Para Rd, Naktiguda, Bhawanipatna, Odisha 766001",Naktiguda,19.9096245,83.1642519,ChIJAT5w3H_pJDoReByEQ9jT5kM,https://www.google.com/maps/place/?q=place_id:ChIJAT5w3H_pJDoReByEQ9jT5kM,part_352,2026-09-20 20:18:04
Gen-Z Casuals,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Shoe store, Women's clothing store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 83389 57304,https://www.instagram.com/shopgenzcasuals/,5.0,1.0,"1st Floor, beside Cafe Club, near Balaji Mandir, Naktiguda, Bhawanipatna, Odisha 766001",Naktiguda,19.9061619,83.15443189999999,ChIJXSeyTuDpJDoRwBLGwoHbWjk,https://www.google.com/maps/place/?q=place_id:ChIJXSeyTuDpJDoRwBLGwoHbWjk,part_352,2026-09-20 20:18:04
BRAND COLLECTION,Mens Wear Showroom,Men's clothing store,Men's clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 84550 91609,N/A,3.8,5.0,"Bhawanipatna Road, NH 26, Kesinga, Odisha 766012",766011,20.1825261,83.21369519999999,ChIJW6FqknP1JDoRQ9YMT9H1lE8,https://www.google.com/maps/place/?q=place_id:ChIJW6FqknP1JDoRQ9YMT9H1lE8,part_352,2026-09-20 20:18:04
Spykar Factory Outlet,Mens Wear Showroom,Clothing store,Clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94398 65305,https://www.spykar.com/,4.6,40.0,"Ground Floor, Mahavir Para Rd, near BCC Bank, Gandhi Chowk, Bhawanipatna, Odisha 766001",Gandhi Chowk,19.9069534,83.16480539999999,ChIJV-SElFjpJDoR0WYUbtN4z3U,https://www.google.com/maps/place/?q=place_id:ChIJV-SElFjpJDoR0WYUbtN4z3U,part_352,2026-09-20 20:18:04
TRENDS,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Baby clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Clothing store, Western apparel store, Youth clothing store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 92373 97224,https://trends.shop/page/trends-gayatri-nagar-kesinga,4.0,49.0,"Ward No 7 Plot No 414/1626 And 414, 1804, Gayatri Nagar, Kesinga, Odisha 766012",Gayatri Nagar,20.1805766,83.2115208,ChIJs9vKMZv1JDoRyiFoD1sNMb8,https://www.google.com/maps/place/?q=place_id:ChIJs9vKMZv1JDoRyiFoD1sNMb8,part_352,2026-09-20 20:18:04
Go Cool Men's wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 99388 19105,N/A,4.8,,"Main Road, Kantabanji, Odisha 767039",766011,20.4672689,82.9192812,ChIJPdGAc6ZMJDoRe4MgSJDNtgU,https://www.google.com/maps/place/?q=place_id:ChIJPdGAc6ZMJDoRe4MgSJDNtgU,part_352,2026-09-20 20:18:05
Being Human Clothing Counter,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Belt shop, Clothes market, Clothing alteration service, Jeans shop, Fabric store, Clothing store, Plus Size Clothing Store, T-shirt store, Western apparel store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 82602 06062,https://www.beinghumanclothing.com/,5.0,,"Hall Road, near Satyam Cinema Road, Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.907248799999998,83.16416029999999,ChIJU0OTxD7pJDoRG-W41gvEyMw,https://www.google.com/maps/place/?q=place_id:ChIJU0OTxD7pJDoRG-W41gvEyMw,part_352,2026-09-20 20:18:06
DCOT BY DONEAR BHAWANIPATNA,Mens Wear Showroom,Men's clothing store,Men's clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70084 47221,https://donear.com/brand/dcot,5.0,,"Bhartistreet, Gandhi Chowk, Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.906372599999997,83.1659032,ChIJK7_A6PPrJDoRHdgvTbcJp0Q,https://www.google.com/maps/place/?q=place_id:ChIJK7_A6PPrJDoRHdgvTbcJp0Q,part_352,2026-09-20 20:18:06
TWILLS EXCLUSIVE STORE TITLAGARH,Mens Wear Showroom,Men's clothing store,Men's clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 83277 04688,https://www.facebook.com/twillsintitlagarh,4.7,,"Dharmasala Rd, Jain Para, Titilagarh, Odisha 767033",Jain Para,20.2885974,83.15380449999999,ChIJKeV5OxVZJDoR8jSgPPDJM1U,https://www.google.com/maps/place/?q=place_id:ChIJKeV5OxVZJDoR8jSgPPDJM1U,part_352,2026-09-20 20:18:06
STYLE IN - fashion for men....,Mens Wear Showroom,Clothing store,Clothing store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 97777 77221,N/A,4.0,,"Junagarh, Odisha 766014",766011,19.8637674,82.9437983,ChIJb0Y2p67hJDoRVTq_TfDZOh4,https://www.google.com/maps/place/?q=place_id:ChIJb0Y2p67hJDoRVTq_TfDZOh4,part_352,2026-09-20 20:18:06
