business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Homeopathy Clinic & Medicine Store,Homeopathic Clinic,Medical clinic,Medical clinic,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 91789 86696,N/A,,,"34G3+WJF, SH 16, Karlapada, Haladigarh, Odisha 766011",766011,20.0773033,83.10403769999999,ChIJdaIyryXxJDoRkyHx5tYjElo,https://www.google.com/maps/place/?q=place_id:ChIJdaIyryXxJDoRkyHx5tYjElo,part_352,2026-09-20 20:18:08
Jasodhara Homeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94371 88200,N/A,5.0,,"Ground Floor, Plot-931,, Beside Hotel Bhagirathi,, Block Office, Pardesipara, Pradeshipara, jail chowk, Bhawanipatna, Odisha 766001","Pradeshipara, jail chowk",19.905883499999998,83.1580013,ChIJJ_rnIGLpJDoRVYjk0QWFGsM,https://www.google.com/maps/place/?q=place_id:ChIJJ_rnIGLpJDoRVYjk0QWFGsM,part_352,2026-09-20 20:18:08
MAA HOMOEO CLINIC,Homeopathic Clinic,Doctor,Doctor,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,,"Shaktinagar Pada, Sakti Nagar Para, Bhawanipatna, Parmanandapur, Odisha 766001","Shaktinagar Pada, Sakti Nagar Para",19.922473399999998,83.1672877,ChIJ56dMUSPtJDoRl0lq1KiF7z0,https://www.google.com/maps/place/?q=place_id:ChIJ56dMUSPtJDoRl0lq1KiF7z0,part_352,2026-09-20 20:18:08
The Treatment (The House of Homeopathy),Homeopathic Clinic,Doctor,Doctor,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94370 71943,N/A,5.0,,"Ground floor, SBI Evening Branch, NH 26, Gandhichowk, Kesinga, Masani munda, Odisha 766012",Gandhichowk,20.184854299999998,83.2156315,ChIJOTiOC8b1JDoRdYfMGbv4itE,https://www.google.com/maps/place/?q=place_id:ChIJOTiOC8b1JDoRdYfMGbv4itE,part_352,2026-09-20 20:18:08
Mind Body & Soul HOMOEOPATHIC CLINIC,Homeopathic Clinic,Homeopath,"Homeopath, Health consultant, Homeopathic pharmacy",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 93486 03848,N/A,5.0,,"Arabinda Pada, Kebidi Road, near Gurugeeta Public School Square, Dharmagarh, Odisha 766015",766011,19.874930499999998,82.7801135,ChIJIZtT91gZJToR_nQAU8ypKPM,https://www.google.com/maps/place/?q=place_id:ChIJIZtT91gZJToR_nQAU8ypKPM,part_352,2026-09-20 20:18:08
Chakadola Homeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.8,,"Evening College, W Lane 1, Hilltown, Vhowk, Dewan Saheb Para, Bhawanipatna, Odisha 766001","Hilltown, Vhowk, Dewan Saheb Para",19.897587299999998,83.1585619,ChIJZxcyDrLpJDoReGAXvGU28XY,https://www.google.com/maps/place/?q=place_id:ChIJZxcyDrLpJDoReGAXvGU28XY,part_352,2026-09-20 20:18:08
Debasish Electro homeopathy Clinic,Homeopathic Clinic,Medical clinic,Medical clinic,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 98539 72013,N/A,5.0,,"Near, post office, Titlagarh Road, Sindhekela, Odisha 767035",766011,20.230661899999998,82.94205989999999,ChIJaRI5FvpVJDoRxhKKIHGoZzw,https://www.google.com/maps/place/?q=place_id:ChIJaRI5FvpVJDoRxhKKIHGoZzw,part_352,2026-09-20 20:18:08
SCIENTIFIC HOMOEO CARE,Homeopathic Clinic,Homeopath,Homeopath,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 73280 46667,https://sites.google.com/view/scientifichomoeo/home,4.9,,"Stall no. 134, Daily Market Rd, Thikadar para, Titilagarh, Odisha 767033",Thikadar para,20.287598199999998,83.15387659999999,ChIJT-D_eRZZJDoRGF1IHZhgOEA,https://www.google.com/maps/place/?q=place_id:ChIJT-D_eRZZJDoRGF1IHZhgOEA,part_352,2026-09-20 20:18:08
Dr.Lovely Homoeopathic Clinic,Homeopathic Clinic,Doctor,Doctor,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70776 40342,N/A,5.0,,"Sargiguda Rd, near Honda Showroom, Saragiguda, Titilagarh, Odisha 767033",Saragiguda,20.2954321,83.15513539999999,ChIJxe6HdgBbJDoRQh22J8dNkMs,https://www.google.com/maps/place/?q=place_id:ChIJxe6HdgBbJDoRQh22J8dNkMs,part_352,2026-09-20 20:18:08
Divyam Divyanshi electro Homeopathy health care,Homeopathic Clinic,Medical clinic,Medical clinic,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70249 94400,N/A,,,"Jharial, Sindhekela, Odisha 767040",766011,20.274534,82.9709209,ChIJcfWwYABVJDoRaw-t32cjopQ,https://www.google.com/maps/place/?q=place_id:ChIJcfWwYABVJDoRaw-t32cjopQ,part_352,2026-09-20 20:18:08
Gayatri Homeo Clinic & Herbal Health Care,Homeopathic Clinic,Homeopathic Clinic,Homeopathic Clinic,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"FW99+GQG, Rd Number 4, Kantabanji, Odisha 767039",766011,20.4688004,82.9194681,ChIJdWbsRqZMJDoR-pswgkj6lVE,https://www.google.com/maps/place/?q=place_id:ChIJdWbsRqZMJDoR-pswgkj6lVE,part_352,2026-09-20 20:18:08
Lalita Homoeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.6,,"VW5P+99J, Junagarh, Odisha 766014",766011,19.858465799999998,82.9359001,ChIJS2l8dz7hJDoR3TI8nMWs__w,https://www.google.com/maps/place/?q=place_id:ChIJS2l8dz7hJDoR3TI8nMWs__w,part_352,2026-09-20 20:18:08
