business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Cakery Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 90902 50250,N/A,4.2,,"Bisra Road Beside LG Plaza, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.223687299999998,84.86613229999999,ChIJjcbutsgeIDoRWVjjTsO3AwY,https://www.google.com/maps/place/?q=place_id:ChIJjcbutsgeIDoRWVjjTsO3AwY,part_355,2026-09-20 20:18:00
The cake boutique,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Cake decorating equipment shop, Cake shop",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 76550 13137,N/A,4.9,,"Sector 2, Rourkela, Odisha 769014",Sector 2,22.2518644,84.8863885,ChIJg_FpxjIfIDoRr1oM-_XPlUc,https://www.google.com/maps/place/?q=place_id:ChIJg_FpxjIfIDoRr1oM-_XPlUc,part_355,2026-09-20 20:18:00
Super Max Bakers,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 93379 98989,N/A,4.3,,"Madhusudan Marg, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.223881199999997,84.86349849999999,ChIJuZp0N8keIDoReJFngnEohAM,https://www.google.com/maps/place/?q=place_id:ChIJuZp0N8keIDoReJFngnEohAM,part_355,2026-09-20 20:18:00
Pappu confectionery and cake,Bakery and Cake Shop,Cake shop,Cake shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,4.6,,"Ammbagan Ispat market, Sector 19, near anil book store…, Sector 19, Rourkela, Odisha 769005","B-Block, Sector 19",22.258187799999998,84.8625144,ChIJqxFiX8kdIDoRs375awlU960,https://www.google.com/maps/place/?q=place_id:ChIJqxFiX8kdIDoRs375awlU960,part_355,2026-09-20 20:18:00
ODISHA BAKERY,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 89841 75086,N/A,4.6,,"6RQG+JXC Indian Biriyani, VSS Market, Back Side of Royal, Madhusudan Nagar, Chhend Colony, Rourkela, Odisha 769015","Madhusudan Nagar, Chhend Colony",22.2390826,84.8274417,ChIJ5WCXRLIZIDoRK_Esd7O9dtw,https://www.google.com/maps/place/?q=place_id:ChIJ5WCXRLIZIDoRK_Esd7O9dtw,part_355,2026-09-20 20:18:00
Max Cream N Crisp Bakers,Bakery and Cake Shop,Restaurant,Restaurant,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 94370 50050,N/A,4.2,,"Nirmal Bhavan, 14-16, Madhusudan Marg, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.223623999999997,84.8633806,ChIJcy7ANckeIDoREpw2nkQIk8Q,https://www.google.com/maps/place/?q=place_id:ChIJcy7ANckeIDoREpw2nkQIk8Q,part_355,2026-09-20 20:18:00
Bakery & Confectionery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,4.4,,"Shop no 10, daily market, Sector 18, Rourkela, Raurkela Industrialship, Odisha 769003","daily market, Sector 18",22.262743,84.8548118,ChIJax9PDXcbIDoRphfLCSC6upQ,https://www.google.com/maps/place/?q=place_id:ChIJax9PDXcbIDoRphfLCSC6upQ,part_355,2026-09-20 20:18:00
CAKE HOUSE 99,Bakery and Cake Shop,Cake shop,Cake shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 77353 70609,N/A,5.0,,"QUATER NO, B/61, near MADHUBAN, Sector 4, Rourkela, Odisha 769002",Sector 4,22.2467094,84.8721515,ChIJRcIoH0cfIDoRKoOmU4VRJIY,https://www.google.com/maps/place/?q=place_id:ChIJRcIoH0cfIDoRKoOmU4VRJIY,part_355,2026-09-20 20:18:00
Winni Cakes & More,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,https://www.winni.in/cake/raurkela,4.5,,"Shop No.R1, Singh Complex, Kuarmunda, Rourkela, Odisha 770039",769002,22.2796524,84.76911249999999,ChIJB9wfrlERIDoR2_Rs4vmOt2E,https://www.google.com/maps/place/?q=place_id:ChIJB9wfrlERIDoR2_Rs4vmOt2E,part_355,2026-09-20 20:18:00
ZAYAKA COOKING CLASS,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 99374 20882,https://www.zayakacookingclasses.co.in/,4.9,,"B 137, Sector 4, Rourkela, Odisha 769002",Sector 4,22.2475661,84.8715015,ChIJvwkgJf4fIDoRhWrPZun2eKM,https://www.google.com/maps/place/?q=place_id:ChIJvwkgJf4fIDoRhWrPZun2eKM,part_355,2026-09-20 20:18:00
