business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mom & Kids - Clothing Store in Rourkela,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,3.9,407.0,"Daily Market, Near, Mangal Bhawan, Main Rd, Rourkela, Odisha 769001",Udit Nagar,22.226481699999997,84.85145059999999,ChIJfWF7dzYZIDoRRdyZMm0AvDo,https://www.google.com/maps/place/?q=place_id:ChIJfWF7dzYZIDoRRdyZMm0AvDo,part_355,2026-09-20 20:18:03
NATKHAT KIDS WEAR,Kids Wear Store,Children's clothing store,Children's clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 94378 88279,N/A,5.0,1.0,"Power House Road, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.2244583,84.8501775,ChIJ_1BpNIsZIDoReUSrKD3N3iQ,https://www.google.com/maps/place/?q=place_id:ChIJ_1BpNIsZIDoReUSrKD3N3iQ,part_355,2026-09-20 20:18:03
Zaree Kids,Kids Wear Store,Baby clothing store,Baby clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 63700 98685,https://www.facebook.com/zareetrends/,3.9,59.0,"parmar complex, Kachery Rd, Chandrapur, Udit Nagar, Rourkela, Odisha 769012","Chandrapur, Udit Nagar",22.226712799999998,84.8482461,ChIJnYQfujcZIDoRfy9M3PhaCUo,https://www.google.com/maps/place/?q=place_id:ChIJnYQfujcZIDoRfy9M3PhaCUo,part_355,2026-09-20 20:18:03
Kids Club,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 82603 43705,N/A,5.0,4.0,"Shop 28-29, Gajapati market, Bank Street, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005","Bank Street, Sector 19",22.2571521,84.865445,ChIJyfWmTmkfIDoR6KxhzY-Wk8k,https://www.google.com/maps/place/?q=place_id:ChIJyfWmTmkfIDoR6KxhzY-Wk8k,part_355,2026-09-20 20:18:03
Vidya Women & Kids Garments,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,,,"6RHW+JHQ, Malgodam Rd, Chandrapur, Basanti Nagar, Rourkela, Odisha 769012","Chandrapur, Basanti Nagar",22.2290875,84.84649639999999,ChIJdU8GB0gZIDoRuKpncnCZRKo,https://www.google.com/maps/place/?q=place_id:ChIJdU8GB0gZIDoRuKpncnCZRKo,part_355,2026-09-20 20:18:03
Firstcry.com Store Rourkela Civil Township,Kids Wear Store,Baby store,Baby store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 81146 69017,http://www.firstcry.com/,4.5,169.0,"Civil Township, Rourkela, Odisha 769012",Civil Township,22.2272703,84.82488029999999,ChIJeTmy8hAZIDoRoBiPnUu_0jk,https://www.google.com/maps/place/?q=place_id:ChIJeTmy8hAZIDoRoBiPnUu_0jk,part_355,2026-09-20 20:18:03
Priya Fashion,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,5.0,1.0,"Main Rd, near kashinath petrol pump, Daily Market, Udit Nagar, Rourkela, Odisha 769001","Daily Market, Udit Nagar",22.226858399999998,84.8531512,ChIJX0HcPQoZIDoRSQsJBYPduFY,https://www.google.com/maps/place/?q=place_id:ChIJX0HcPQoZIDoRSQsJBYPduFY,part_355,2026-09-20 20:18:03
Bothra Mega Bazar,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,3.9,148.0,"Power House Road, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.2257474,84.8502161,ChIJs6MyxzYZIDoRQAb2dX0dYxg,https://www.google.com/maps/place/?q=place_id:ChIJs6MyxzYZIDoRQAb2dX0dYxg,part_355,2026-09-20 20:18:03
Kids Birthday Center,Kids Wear Store,Childrens Store,"Childrens Store, Balloon store, Home goods store",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,http://www.kidsbirthdaycenter.link/,4.4,18.0,"Shop No-722, ispat Market, Bank Street, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005","Bank Street, Sector 19",22.2559063,84.8646917,ChIJKyIgcgMcIDoRNKR2Nn9cHVM,https://www.google.com/maps/place/?q=place_id:ChIJKyIgcgMcIDoRNKR2Nn9cHVM,part_355,2026-09-20 20:18:03
Dizney Lifestyle,Kids Wear Store,Children's clothing store,Children's clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 94380 02994,N/A,4.0,26.0,"Panposh Chowk, Basti Road, Panposh, Rourkela, Odisha 769001","Basti Road, Panposh",22.2277366,84.80607619999999,ChIJ2figeTYZIDoRf8tBiT610-g,https://www.google.com/maps/place/?q=place_id:ChIJ2figeTYZIDoRf8tBiT610-g,part_355,2026-09-20 20:18:04
