business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ARIFA TOUR AND TRAVELS 🧳,Tour and Travel Operator,Travel agency,Travel agency,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.7,,"Bechamari, Assam 782123",782103,26.3953465,92.46288709999999,ChIJiXgpAKMrRTcRA8BJQadS6LQ,https://www.google.com/maps/place/?q=place_id:ChIJiXgpAKMrRTcRA8BJQadS6LQ,part_359,2026-09-20 20:49:24
MEGHA TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99577 70068,https://www.meghatravelstrip.in/,4.9,,"Mathkhala bazar, 2No Kandhulimari, Dhing, Assam 782124",782103,26.462225699999998,92.6099572,ChIJZ5_EG-zXRDcRQ6MD6k8S5kA,https://www.google.com/maps/place/?q=place_id:ChIJZ5_EG-zXRDcRQ6MD6k8S5kA,part_359,2026-09-20 20:49:24
Happy Journey,Tour and Travel Operator,Travel agency,Travel agency,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60262 84181,https://www.happyjourney.net/,5.0,,"Panigaon, Chaiali, Polyroad, Nagaon, Assam 782003",Polyroad,26.3562729,92.70303009999999,ChIJxWoEb_ghRTcR2EO8gQC6OG4,https://www.google.com/maps/place/?q=place_id:ChIJxWoEb_ghRTcR2EO8gQC6OG4,part_359,2026-09-20 20:49:24
Anshuman Travels,Tour and Travel Operator,Sightseeing Tour Operator,"Sightseeing Tour Operator, Car leasing service, Taxi service, Tour agency, Tour operator, Travel agency, Wildlife and safari park",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99540 56775,http://www.asom.in/,4.3,,"Ramakrishna Rd, Kenyapatty, Nagaon, Assam 782001",Kenyapatty,26.352735799999998,92.6917107,ChIJuX8vISknRTcRYJN_QMoTHS8,https://www.google.com/maps/place/?q=place_id:ChIJuX8vISknRTcRYJN_QMoTHS8,part_359,2026-09-20 20:49:24
Farida enterprise &travel agency,Tour and Travel Operator,Travel agency,"Travel agency, Insurance company, Travel lounge",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 86381 28701,N/A,5.0,,"72, notun bajar, Dhara Mukh, Bajbatamari, Assam 782425",notun bajar,26.1783309,92.55908559999999,ChIJz0yBYEcxRTcRCjRz8qYyy8w,https://www.google.com/maps/place/?q=place_id:ChIJz0yBYEcxRTcRCjRz8qYyy8w,part_359,2026-09-20 20:49:24
MASUD ENTERPRISE AND TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 84868 50141,https://www.masudtravels.com//indexpage.jsp,4.9,,"Bhuragaon Bazar, MOIRABRI ROAD, Bhuragaon, Assam 782121",782103,26.403749899999998,92.2392751,ChIJHaPCPl8nWzcRshjmxpl9mJI,https://www.google.com/maps/place/?q=place_id:ChIJHaPCPl8nWzcRshjmxpl9mJI,part_359,2026-09-20 20:49:24
Bora Tour And Travel,Tour and Travel Operator,Travel agency,Travel agency,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 84539 15238,N/A,,,"Mayabajar, Majgaon, Maj Jajori, Assam 782142",782103,26.339034599999998,92.57073419999999,ChIJE3ZZJqEpRTcRXtp65KrOsKw,https://www.google.com/maps/place/?q=place_id:ChIJE3ZZJqEpRTcRXtp65KrOsKw,part_359,2026-09-20 20:49:24
Transport,Tour and Travel Operator,Travel agency,Travel agency,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 70028 74893,N/A,5.0,,"Kuhimari Tinali Manipur Tup To Marigaon Rd, Assam 782103",782103,26.239566699999997,92.4467181,ChIJMe6A8GDTWjcR1UCueNA8SaA,https://www.google.com/maps/place/?q=place_id:ChIJMe6A8GDTWjcR1UCueNA8SaA,part_359,2026-09-20 20:49:24
Muskan Tour And Travels,Tour and Travel Operator,Travel agency,Travel agency,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,1.0,,"Balijan Bazar, near by Balijan High School Gate, Assam 782106",782103,26.3698381,92.4623142,ChIJY8VUHQUrRTcRUm_o5SJ7Uv8,https://www.google.com/maps/place/?q=place_id:ChIJY8VUHQUrRTcRUm_o5SJ7Uv8,part_359,2026-09-20 20:49:24
Assam Tours and travels,Tour and Travel Operator,Tour operator,Tour operator,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 86384 17965,https://www.assamtoursandtravels.org/,5.0,,"Goshala, near Water Tank, Maligaon Chariali, Maligaon, Guwahati, Assam 781012","Maligaon Chariali, Maligaon",26.158776999999997,91.69619279999999,ChIJ7ScZmzZbWjcR4hKwjsRHEaQ,https://www.google.com/maps/place/?q=place_id:ChIJ7ScZmzZbWjcR4hKwjsRHEaQ,part_359,2026-09-20 20:49:24
