business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RAWS Enterprise- RO WATER FILTER SERVICE,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Chimney services, Consultant, Sewage treatment plant, Water purification company, Water treatment plant, Water treatment supplier",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 98541 66525,https://rawsenterprise.in/,5.0,153.0,"BM Rd, ASTC Chariali, Amolapatty, Nagaon, Assam 782001","ASTC Chariali, Amolapatty",26.3545329,92.6866208,ChIJ76P0DOknRTcRuQLuF52OMVU,https://www.google.com/maps/place/?q=place_id:ChIJ76P0DOknRTcRuQLuF52OMVU,part_359,2026-09-20 20:49:27
R.O water purifier sales and service,RO Water Purifier Sales and Service,Electronics repair shop,Electronics repair shop,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 74153 31855,N/A,5.0,1.0,"Khurai, Madhya Pradesh 470117",782103,24.0417409,78.3277324,ChIJJzZWclU_eTkR0Uc7KWS3FzM,https://www.google.com/maps/place/?q=place_id:ChIJJzZWclU_eTkR0Uc7KWS3FzM,part_359,2026-09-20 20:49:27
Pureit Water Purifier - Total Aqua,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water purification company",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 91670 79471,https://stores-near-me.pureitwater.com/pureit-water-purifier-total-aqua-water-filter-supplier-amolapatty-kamrup-259140/Home?utm_source=locator&utm_medium=googleplaces,,,"Nagaon BB Road, E Amolapatty, near SBI, Assam 782001",782103,26.3567242,92.6899366,ChIJk66PMDInRTcR4IWP6jmafAU,https://www.google.com/maps/place/?q=place_id:ChIJk66PMDInRTcR4IWP6jmafAU,part_359,2026-09-20 20:49:27
Ro Service Guwahati,RO Water Purifier Sales and Service,Water purification company,Water purification company,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 70026 06744,https://roserviceguwahati.in/,4.8,110.0,"Ambikagiri Nagar, Zoo Road, RG Baruah Rd, Landmark:, Guwahati, Assam 781024",Landmark:,26.1716762,91.7779121,ChIJE5EeodZZWjcRbPjSrM3Aq1U,https://www.google.com/maps/place/?q=place_id:ChIJE5EeodZZWjcRbPjSrM3Aq1U,part_359,2026-09-20 20:49:27
Kiran Trading Marketing,RO Water Purifier Sales and Service,Water purification company,Water purification company,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,5.0,3.0,"House no 218, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.3463602,92.67478659999999,ChIJ50DR_DsnRTcRqD_hVIZxDDM,https://www.google.com/maps/place/?q=place_id:ChIJ50DR_DsnRTcRqD_hVIZxDDM,part_359,2026-09-20 20:49:27
R O Point,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Filtration plant, Water purification company, Water softening equipment supplier, Water treatment plant, Water utility company",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 70023 25963,https://ropointguwahati.com/,4.9,196.0,"Chaolung Sukaphaa Path, opposite gastro city hospital, Hatigaon Chariali, Sijubari, Hatigaon, Guwahati, Assam 781038","Hatigaon Chariali, Sijubari, Hatigaon",26.129139499999997,91.7860671,ChIJS4ykdM1ZWjcRMdDwggw-mjg,https://www.google.com/maps/place/?q=place_id:ChIJS4ykdM1ZWjcRMdDwggw-mjg,part_359,2026-09-20 20:49:28
V.S. Water Enterprises,RO Water Purifier Sales and Service,Water softening equipment supplier,"Water softening equipment supplier, Water Filter Supplier, Water treatment plant",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 94100 09654,http://vswaterenterprises.com/,4.9,210.0,"shop 1, Kaharai Mod, 31/63/B/4, Raja Kherah Marg, near panna palace, Indrapuram, Kaveri Vihar Phase II, Shamsabad, Agra, शमशाबाद गाँव, Uttar Pradesh 282004","Indrapuram, Kaveri Vihar Phase II, Shamsabad",27.141588499999997,78.045222,ChIJmX_WOGZxdDkR1ZUrlfAotzg,https://www.google.com/maps/place/?q=place_id:ChIJmX_WOGZxdDkR1ZUrlfAotzg,part_359,2026-09-20 20:49:28
City Water,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Swimming pool contractor, Swimming pool supply store, Water softening equipment supplier, Water treatment plant, Water treatment supplier",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60268 01817,http://www.citywater.in/,4.8,504.0,"Building No 58-2273, Floor No 1, DG Market Complex at Traffic Point, Hatigaon Bhetapara Rd, opposite Building to SBI ATM, near Manappuram Gold loan office, Hatigaon Chariali, Beltola Tiniali, Guwahati, Assam 781038","Hatigaon Chariali, Beltola Tiniali",26.1288385,91.7866087,ChIJjbQ6EwVZWjcRvwO1pqP5uwA,https://www.google.com/maps/place/?q=place_id:ChIJjbQ6EwVZWjcRvwO1pqP5uwA,part_359,2026-09-20 20:49:28
Ro Service Sambhal - Expert in Water Purifiers,RO Water Purifier Sales and Service,Water treatment plant,"Water treatment plant, Repair service, Water Filter Supplier, Water treatment supplier",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 88826 60533,https://m.facebook.com/profile.php?id=100004752546289&refsrc=deprecated&_rdr,5.0,68.0,"Chaman Sarai, Sambhal, Uttar Pradesh 244302",Chaman Sarai,28.5849576,78.571506,ChIJyR0-Ra0fCzkRtxhbEL1DnQw,https://www.google.com/maps/place/?q=place_id:ChIJyR0-Ra0fCzkRtxhbEL1DnQw,part_359,2026-09-20 20:49:28
Now best deal Ro services(aquaguard & eureka forbes authorised dealer and service center),RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 84457 39254,N/A,5.0,12.0,"Shop no. 4, shiv complex, opp. Shree ram mariage home, Karkauli, Sadabad, Uttar Pradesh 281306",Karkauli,27.4349721,78.0368113,ChIJ3zo60zCHdDkRYVH55HsBoqg,https://www.google.com/maps/place/?q=place_id:ChIJ3zo60zCHdDkRYVH55HsBoqg,part_359,2026-09-20 20:49:28
