business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahakal cargo Logistics,Logistics and Transport Services,Transportation service,"Transportation service, Logistics service",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 93302 06091,https://www.mahakalcargo.com/,4.5,,"22A, Kali Krishna Tagore St, Malapara, Santoshpur, Jorabagan, Kolkata, West Bengal 700007","Malapara, Santoshpur, Jorabagan",22.5867844,88.3561208,ChIJq65Qy_V3AjoRDgWu5jBtpA8,https://www.google.com/maps/place/?q=place_id:ChIJq65Qy_V3AjoRDgWu5jBtpA8,part_356,2026-09-20 20:54:30
Carryzo Logistics,Logistics and Transport Services,Transportation service,Transportation service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,4.8,,"Ramlakhan market, Road no.-8, Ram Lakhan Path, Patna, Bihar 800020","Bhojpur Colony, Mithapur",25.585199799999998,85.1431461,ChIJ0eCHD_pZ7TkRQ1tkgIsUyaI,https://www.google.com/maps/place/?q=place_id:ChIJ0eCHD_pZ7TkRQ1tkgIsUyaI,part_356,2026-09-20 20:54:30
SATVIKA LOGISTICS AND PROJECTS,Logistics and Transport Services,Transportation service,"Transportation service, Contractor, Earth works company, Mining company",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,https://www.facebook.com/satvikaprojects,5.0,,"Jharsuguda Town Main Rd, Marwari Para, Jharsuguda, Odisha 768201",Marwari Para,21.854220299999998,84.01364869999999,ChIJeaiDApHnIDoR-9CBdFWvIos,https://www.google.com/maps/place/?q=place_id:ChIJeaiDApHnIDoR-9CBdFWvIos,part_356,2026-09-20 20:54:30
A. L. Logistics Private Limited,Logistics and Transport Services,Logistics service,"Logistics service, Container terminal, Customs broker, Transportation service",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 91470 72776,https://www.greenwaysgroup.in/allogistics.html,5.0,4.0,"1st Floor, Rawdon Chamber, 11A, Rawdon St, Elgin, Kolkata, West Bengal 700017",Elgin,22.5437664,88.35788389999999,ChIJzZ5W53d3AjoRkSy6mVf7FTY,https://www.google.com/maps/place/?q=place_id:ChIJzZ5W53d3AjoRkSy6mVf7FTY,part_356,2026-09-20 20:54:30
Best N Care Relocation And Logistics,Logistics and Transport Services,Moving and storage service,Moving and storage service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 62607 23395,https://www.bestncare.com/,4.9,143.0,"Lift and Shift, Shop No 14, 1st Floor, Ring Rd Number 2, Gondwara Basti, Raipur, Chhattisgarh 492099",Gondwara Basti,21.2776826,81.6015058,ChIJYz8RJM7hKDoRQBQJosvMSoY,https://www.google.com/maps/place/?q=place_id:ChIJYz8RJM7hKDoRQBQJosvMSoY,part_356,2026-09-20 20:54:30
Om Shree Om transport service,Logistics and Transport Services,Transportation service,Transportation service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 94388 87681,https://omshreeomtransport.com/,4.7,73.0,"Phase 1, Infront of UCO Bank, L-25, Phase-2, Basanti Nagar, Rourkela, Odisha 769012","Phase-2, Basanti Nagar",22.2354529,84.8393899,ChIJaebIfAQZIDoRuEnbdr4t0Ko,https://www.google.com/maps/place/?q=place_id:ChIJaebIfAQZIDoRuEnbdr4t0Ko,part_356,2026-09-20 20:54:30
Privilege Logistics ! Car Transportation,Logistics and Transport Services,Transportation service,Transportation service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 84488 16008,http://www.privilegelogistics.in/,5.0,36.0,"HOUSE NO 586 DHARAM COLONY PART 2 PALAM VIHAR EXTENSION, Carterpuri Village, Sector 23A, Gurugram, Haryana 122017","Choma, Carterpuri Village, Sector 23A",28.5025522,77.0312514,ChIJf-BH93UZDTkRdnhemBG5TYk,https://www.google.com/maps/place/?q=place_id:ChIJf-BH93UZDTkRdnhemBG5TYk,part_356,2026-09-20 20:54:30
PIHU LOGISTICS,Logistics and Transport Services,Transportation service,Transportation service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 99935 52893,N/A,4.0,,"10.SR COMPOUND GOPAL TOLL KANTA, Dewas Naka, Lasudia Mori, Indore, Madhya Pradesh 453771","Dewas Naka, Lasudia Mori",22.818137,75.9257315,ChIJkw2EGKUdYzkR94dXMNmxAPg,https://www.google.com/maps/place/?q=place_id:ChIJkw2EGKUdYzkR94dXMNmxAPg,part_356,2026-09-20 20:54:31
Maruthi Road Carrier-Bommasandra-Hosur-Peenya,Logistics and Transport Services,Freight Forwarding Agency,Freight Forwarding Agency,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 94484 95491,http://www.transportationbangalore.com/bangalore-to-pune-regular-lorry-service.html,3.5,,"floor 5th, 18, 1st Floor, 5th Cross, Mangammapalya road, Bommanahalli opp: Salarpuria Serenity Apartments Bengaluru Karnataka 560068 IN, 18, 1st Ave St, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560068","Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector",12.9065856,77.63334929999999,ChIJBSBXfpQUrjsRF9nJeocrAuY,https://www.google.com/maps/place/?q=place_id:ChIJBSBXfpQUrjsRF9nJeocrAuY,part_356,2026-09-20 20:54:31
ARYAVART TRANSPORT COMPANY PVT. LTD.,Logistics and Transport Services,Transportation service,Transportation service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 1262 231 382,https://www.avtc.in/,3.3,,"VHWG+CJ5, Maal Godam road, Rohtak Station Diary Mohalla, Rohtak, Haryana 124001",Rohtak Station Diary Mohalla,28.8960215,76.57661709999999,ChIJLUAgcrmFDTkRnLKghZDOs7o,https://www.google.com/maps/place/?q=place_id:ChIJLUAgcrmFDTkRnLKghZDOs7o,part_356,2026-09-20 20:54:31
US TRANSPORT,Logistics and Transport Services,Transportation service,Transportation service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 77364 91965,http://professionalscs.in/,4.0,,"Veekshanam Rd, North Kaloor, Kacheripady, Ernakulam, Keralam 682018","North Kaloor, Kacheripady",9.9848609,76.2863139,ChIJwd1GH7sNCDsR48DCuG5CYuw,https://www.google.com/maps/place/?q=place_id:ChIJwd1GH7sNCDsR48DCuG5CYuw,part_356,2026-09-20 20:54:31
Drop Truck - Truck Rental Services,Logistics and Transport Services,Logistics service,"Logistics service, Refrigerated transport service, Transportation service, Truck rental agency, Trucking company",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 73050 63050,https://droptruck.in/,4.6,,"7/2, Anjaneyar Koil St, Little Mount, Saidapet, Chennai, Tamil Nadu 600015","Little Mount, Saidapet",13.0131423,80.2234381,ChIJPcyfCwBnUjoR5aERX8R7XmI,https://www.google.com/maps/place/?q=place_id:ChIJPcyfCwBnUjoR5aERX8R7XmI,part_356,2026-09-20 20:54:31
Yestee Agency,Logistics and Transport Services,Logistics service,"Logistics service, Railway services",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98406 99997,N/A,4.0,,"104, Wall Tax Rd, Jutkapuram, Park Town, Chennai, Tamil Nadu 600003","Jutkapuram, Park Town",13.089165,80.27552299999999,ChIJT55JO2pmUjoRZwYOyvPmzqo,https://www.google.com/maps/place/?q=place_id:ChIJT55JO2pmUjoRZwYOyvPmzqo,part_356,2026-09-20 20:54:31
Truck Guru,Logistics and Transport Services,Transportation service,Transportation service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 72020 45678,https://truckguru.co.in/,5.0,,"70, Waghodia Rd, Meghanagar, Waghodia, Vadodara, Gujarat 390019","Meghanagar, Waghodia",22.293603899999997,73.23125879999999,ChIJO0wArHzFXzkRm_eqluub0IM,https://www.google.com/maps/place/?q=place_id:ChIJO0wArHzFXzkRm_eqluub0IM,part_356,2026-09-20 20:54:31
TruckGuru,Logistics and Transport Services,Trucking company,"Trucking company, Container service, Delivery service, Logistics service, Transportation service, Truck rental agency",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,https://truckguru.co.in/transportation-services,4.5,,"Krishna Platina, 507, New VIP Rd, opp. Earth icon, Sardar Estate, Sayaji Park Society, Vadodara, Gujarat 390018","Sardar Estate, Sayaji Park Society",22.318446599999998,73.2285319,ChIJGVTn6mfFXzkR-CYrP6qVtqY,https://www.google.com/maps/place/?q=place_id:ChIJGVTn6mfFXzkR-CYrP6qVtqY,part_356,2026-09-20 20:54:31
