business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ayur Herbals (Pvt.) Ltd.,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,Cosmetic Products Manufacturer,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98109 62646,https://www.ayurherbals.co.in/,5.0,1.0,"168, Phase 1, Udyog Vihar, Indl. Area, Sector 20, Gurugram, Haryana 122016","Phase 1, Udyog Vihar, Indl. Area, Sector 20",28.5105699,77.0813755,ChIJBwAAQPIXDTkRuGTV-zviwSQ,https://www.google.com/maps/place/?q=place_id:ChIJBwAAQPIXDTkRuGTV-zviwSQ,part_356,2026-09-20 20:54:36
RM Herbals,Herbal and Ayurvedic Cosmetic Products,Manufacturer,Manufacturer,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 44 2485 2196,http://www.rmherbals.in/,5.0,16.0,"94/51, Perumal Koil St, West Saidapet, Saidapet, Chennai, Tamil Nadu 600015","West Saidapet, Saidapet",13.0231493,80.2168164,ChIJey4goBBnUjoRLVBcDVATLzM,https://www.google.com/maps/place/?q=place_id:ChIJey4goBBnUjoRLVBcDVATLzM,part_356,2026-09-20 20:54:36
Pure Herbal Ayurveda,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 77799 99661,http://pureherbalayurveda.com/,4.7,38.0,"First Floor, RZ-84F, Dabri Extension, Dabri Village, Dabri, New Delhi, Delhi, 110045","Dabri Village, Dabri",28.608696799999997,77.0827279,ChIJkZJ7vmYFDTkRujuQ4mENtdw,https://www.google.com/maps/place/?q=place_id:ChIJkZJ7vmYFDTkRujuQ4mENtdw,part_356,2026-09-20 20:54:36
Cureayu,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98186 88820,http://cureayu.com/,5.0,62.0,"opp. plot no 52, Udyog Vihar Industrial Area Phase VI, Sector 37, Gurugram, Haryana 122004","Udyog Vihar Industrial Area Phase VI, Sector 37",28.4384151,77.0045793,ChIJJYgql98XDTkRkkcwLetY2-Y,https://www.google.com/maps/place/?q=place_id:ChIJJYgql98XDTkRkkcwLetY2-Y,part_356,2026-09-20 20:54:36
Cure It Herb,Herbal and Ayurvedic Cosmetic Products,Cosmetics store,"Cosmetics store, Cosmetic Products Manufacturer",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 76783 45864,https://cureitherb.com/,5.0,6.0,"Kh. No. 150-155, Farm, 3, Bandh Rd, Satbari, New Delhi, Delhi 110074",Satbari,28.4736512,77.17470689999999,ChIJL8yLr20fDTkRwnKCof9v7Qg,https://www.google.com/maps/place/?q=place_id:ChIJL8yLr20fDTkRwnKCof9v7Qg,part_356,2026-09-20 20:54:36
Ayur Herbals Pvt. Ltd.,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,Cosmetic Products Manufacturer,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 124 422 8140,https://www.ayurherbals.co.in/,3.0,2.0,"140, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016","Udyog Vihar Phase 1, Udyog Vihar, Sector 20",28.510032,77.08018799999999,ChIJOyssTiAZDTkRn2ZvSVsKzDM,https://www.google.com/maps/place/?q=place_id:ChIJOyssTiAZDTkRn2ZvSVsKzDM,part_356,2026-09-20 20:54:36
Hyderabad Beauty Centre,Herbal and Ayurvedic Cosmetic Products,Beauty Products Wholesaler,"Beauty Products Wholesaler, Cosmetics store, Cosmetics wholesaler",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 40 2474 1901,https://www.instagram.com/hyderabadbeautycentre,4.4,1281.0,"5-2-416, Risala Abdulla St, Osmangunj, Jam Bagh, Hyderabad, Telangana 500012","Osmangunj, Jam Bagh",17.3819661,78.47604659999999,ChIJG4Lch82ZyzsRS3BLG_Aaqas,https://www.google.com/maps/place/?q=place_id:ChIJG4Lch82ZyzsRS3BLG_Aaqas,part_356,2026-09-20 20:54:36
Ayur Herbals,Herbal and Ayurvedic Cosmetic Products,Manufacturer,Manufacturer,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 11 2588 8931,https://ayurherbals.co/,3.7,24.0,"Ayur House, 2/12, W Patel Nagar Rd, Block 2, East Patel Nagar, Patel Nagar, New Delhi, Delhi 110008","Block 2, East Patel Nagar, Patel Nagar",28.6457272,77.16883059999999,ChIJKxVFie8CDTkRgw9WRh_Wjuw,https://www.google.com/maps/place/?q=place_id:ChIJKxVFie8CDTkRgw9WRh_Wjuw,part_356,2026-09-20 20:54:36
Herbalveda Wellness,Herbal and Ayurvedic Cosmetic Products,Manufacturer,Manufacturer,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 99999 02912,http://www.herbalveda.in/,4.2,9.0,"431, Fifth Floor, Westend Mall, Janakpuri, New Delhi, Delhi 110058","Janakpuri District Center, Janakpuri",28.629636299999998,77.07973609999999,ChIJ6eBc_i8FDTkRsL9u38GMxt0,https://www.google.com/maps/place/?q=place_id:ChIJ6eBc_i8FDTkRsL9u38GMxt0,part_356,2026-09-20 20:54:36
Herboid: Genuine Indian Products | Homoeopathy | Ayurveda | International Shipping,Herbal and Ayurvedic Cosmetic Products,Homeopathic pharmacy,"Homeopathic pharmacy, Alternative Medicine Clinic, Alternative medicine practitioner, Cosmetics store, Gluten-free restaurant, Herb shop, Herbal medicine store, Homeopath, Natural goods store, Organic drug store",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 84471 19083,https://greenleafdrugstore.com/,5.0,88.0,"13, Suncity Road, Suncity, Sector 54, Gurugram, Haryana 122011","Suncity, Sector 54",28.4354183,77.1120648,ChIJ-SrmJsAfDTkRt1vkLnyzh3k,https://www.google.com/maps/place/?q=place_id:ChIJ-SrmJsAfDTkRt1vkLnyzh3k,part_356,2026-09-20 20:54:36
