business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Brothers Electrical Hub,Electrician,Electrician,Electrician,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 77819 68088,https://brotherselectricalhub.co.in/,4.9,240.0,"Qaiser Colony, Bariatu, Ranchi, Jharkhand 834009",Bariatu,23.3932277,85.3551499,ChIJXbEDBADj9DkRUTPnXZxftRY,https://www.google.com/maps/place/?q=place_id:ChIJXbEDBADj9DkRUTPnXZxftRY,part_356,2026-09-20 20:54:33
Raju electrical workshop,Electrician,Electrician,Electrician,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 84807 16083,N/A,5.0,10.0,"Macha market, Borikina, Odisha 754110",Macha market,20.1208481,86.33059879999999,ChIJVfUfUHkpGjoRTIDCQ7boIss,https://www.google.com/maps/place/?q=place_id:ChIJVfUfUHkpGjoRTIDCQ7boIss,part_356,2026-09-20 20:54:33
Shesh Giri (ELECTRICIAN),Electrician,Electrician,"Electrician, Air conditioning contractor, Air conditioning repair service, Appliance repair service, Electric motor repair shop, Electrical installation service, Electrical repair shop, Repair service, Washer & dryer repair service, Washer & dryer store",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 73078 67779,http://yourlocalelectrician.in/,5.0,691.0,"234, near Axis Bank ATM, Sector 119, Dashmesh Market, Balongi, Sahibzada Ajit Singh Nagar, Punjab 160055","Sector 119, Dashmesh Market, Balongi",30.728762099999997,76.69550579999999,ChIJ2z_hIrfvDzkRMDjSNjTl-iA,https://www.google.com/maps/place/?q=place_id:ChIJ2z_hIrfvDzkRMDjSNjTl-iA,part_356,2026-09-20 20:54:33
Samir Auto electrician,Electrician,Electrician,Electrician,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,5.0,2.0,"Japnga darlipali road, SUNDARGARH, Brahmanipali, Odisha 770073",770046,22.035418,84.00966729999999,ChIJD6a_qqbrIDoRdowRhLkYvok,https://www.google.com/maps/place/?q=place_id:ChIJD6a_qqbrIDoRdowRhLkYvok,part_356,2026-09-20 20:54:33
MODERN ELECTRICALS AND REPAIRING CENTRE,Electrician,Electrical installation service,"Electrical installation service, Electrical repair shop, Gas shop, Home help service agency",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 99382 69628,N/A,5.0,5.0,"In front of thanapara up school,rangadhipa, near samsung care, near JDR hotel In line of indian gas service, Sundargarh, Odisha 770002",770046,22.122056399999998,84.0342663,ChIJD8bii1LtIDoREQslzepKDow,https://www.google.com/maps/place/?q=place_id:ChIJD8bii1LtIDoREQslzepKDow,part_356,2026-09-20 20:54:33
INDRAJIT CHITA,Electrician,Electrician,"Electrician, Electrical repair shop",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 76530 48422,N/A,4.7,3.0,"SH10, Sundargarh, Odisha 770020",770046,22.092738,84.040157,ChIJF9pgEE_tIDoRWl-90V9yd-o,https://www.google.com/maps/place/?q=place_id:ChIJF9pgEE_tIDoRWl-90V9yd-o,part_356,2026-09-20 20:54:33
Electrical Aditya service 🏠,Electrician,Electrician,"Electrician, Service establishment",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,5.0,2.0,"Electrical Aditya service 🏠, 770046, India",770046,21.0680074,82.7525294,ChIJRViXJZvjIDoR9WSHDvf2BHU,https://www.google.com/maps/place/?q=place_id:ChIJRViXJZvjIDoR9WSHDvf2BHU,part_356,2026-09-20 20:54:33
Twashta service,Electrician,Electrician,Electrician,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,5.0,6.0,"Old NH49, Belpahar, Jharsuguda, Odisha 768217",770046,21.822926799999998,83.84115659999999,ChIJl0LYO8vZIDoR-DpKfUrLacQ,https://www.google.com/maps/place/?q=place_id:ChIJl0LYO8vZIDoR-DpKfUrLacQ,part_356,2026-09-20 20:54:33
Jogesh Electrician,Electrician,Electrician,Electrician,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 63727 87443,N/A,4.3,6.0,"Kutuli, Odisha 765002",770046,19.101031,83.194372,ChIJWS9AYfw_OzoRM_0KkXzzF84,https://www.google.com/maps/place/?q=place_id:ChIJWS9AYfw_OzoRM_0KkXzzF84,part_356,2026-09-20 20:54:33
SARKAR ELECTRIC OFFICE,Electrician,Electrical installation service,Electrical installation service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,http://sarkarelectric.co.in/,5.0,1.0,"R2R6+QJV, Sarbahal, Jharsuguda, Odisha 768201",Sarbahal,21.8419951,84.01154149999999,ChIJpcj_MQDhIDoRpGegYTTaRRc,https://www.google.com/maps/place/?q=place_id:ChIJpcj_MQDhIDoRpGegYTTaRRc,part_356,2026-09-20 20:54:33
