business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GLOBAL EDUCATION CONSULTANT,Educational Consultant,Educational consultant,Educational consultant,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99573 69829,N/A,,,"To, Dhing Rd, Tuk-Tuki, Dhing, Assam 782123",782103,26.3896268,92.4895174,ChIJlxvvSesrRTcR1a5lN0vz5_k,https://www.google.com/maps/place/?q=place_id:ChIJlxvvSesrRTcR1a5lN0vz5_k,part_359,2026-09-20 20:49:34,3756
Dumick Educational Consultancy (OPC) Private Limited,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Student career counseling office",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99572 45899,http://www.dumickedu.in/,4.8,32.0,"Uttarayan Greens, opp. Hockey Stadium Road, Kerakuchi, Guwahati, Assam 781034",Kerakuchi,26.119719999999997,91.77043669999999,ChIJ76zJmbZeWjcRjtW9Bev4WPE,https://www.google.com/maps/place/?q=place_id:ChIJ76zJmbZeWjcRjtW9Bev4WPE,part_359,2026-09-20 20:49:35,3757
Rare Education,Educational Consultant,Educational consultant,Educational consultant,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 97075 25025,http://rareeducation.in/,4.9,110.0,"35, 2nd floor, Panjabari Rd, opposite Metropolitan Girls high school, near City college, Six Mile, Guwahati, Assam 781022",Six Mile,26.1329285,91.8142311,ChIJT0_sIsVZWjcRfTnXVytVyWE,https://www.google.com/maps/place/?q=place_id:ChIJT0_sIsVZWjcRfTnXVytVyWE,part_359,2026-09-20 20:49:35,3758
Arch Educational Services,Educational Consultant,Educational consultant,"Educational consultant, Counselor",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,http://archedu.in/,4.9,102.0,"3rd Floor, Commerce Point Commerce College, Kabita Mansion, Rajgarh Link Rd, opp. Guwahati, Chandmari, Guwahati, Assam 781003",Chandmari,26.1801694,91.7749331,ChIJzSTSRaJZWjcRT1iMmgosoyA,https://www.google.com/maps/place/?q=place_id:ChIJzSTSRaJZWjcRT1iMmgosoyA,part_359,2026-09-20 20:49:35,3759
VERSATILE EDUCATION & CAREER,Educational Consultant,Educational consultant,Educational consultant,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 76700 34443,http://www.versatilecareer.in/,4.9,115.0,"VIP Rd, Six Mile, Guwahati, Assam 781022",Six Mile,26.134120499999998,91.8091603,ChIJlxU9-8hYWjcR5EQy-3tr0ek,https://www.google.com/maps/place/?q=place_id:ChIJlxU9-8hYWjcR5EQy-3tr0ek,part_359,2026-09-20 20:49:35,3760
Leverage Edu - Study Abroad Consultant,Educational Consultant,Educational consultant,"Educational consultant, Adult education school, Career guidance service, Foreign Exchange Students Organization, Student career counseling office",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60015 90535,https://www.instagram.com/leverageinguwahati,4.6,251.0,"2nd Floor, Royale Arcade, Dr B Baruah Rd, above Royal Living, Kasturba Nagar, Ulubari, Guwahati, Assam 781007","Kasturba Nagar, Ulubari",26.176361999999997,91.757429,ChIJfSTH6t5ZWjcRqQVnkDmsNJU,https://www.google.com/maps/place/?q=place_id:ChIJfSTH6t5ZWjcRqQVnkDmsNJU,part_359,2026-09-20 20:49:35,3761
Admissify Edutech,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service, Education center, Student career counseling office, Visa Agent",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 99991 27085,https://www.admissify.com/location/study-abroad-consultants-in-guwahati,4.4,68.0,"4th floor, CJ Darcl office, Centro Mall, near Shraddhanjali Kanan Exotica Greens, Guwahati, Assam 781024",Tarun Nagar,26.1655828,91.7794989,ChIJ-dvIIetbWjcR_iG6pBX4434,https://www.google.com/maps/place/?q=place_id:ChIJ-dvIIetbWjcR_iG6pBX4434,part_359,2026-09-20 20:49:35,3762
International Education Consultancy,Educational Consultant,Educational consultant,Educational consultant,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 70860 54146,http://www.iecindia.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11285599376958819449,4.7,29.0,"Panjabari Rd, Six Mile, Guwahati, Assam 781037",Six Mile,26.133246,91.82963559999999,ChIJiwXFIN1ZWjcRHX4gFcGC2Zc,https://www.google.com/maps/place/?q=place_id:ChIJiwXFIN1ZWjcRHX4gFcGC2Zc,part_359,2026-09-20 20:49:35,3763
AVEDON EDUCATION - GUWAHATI,Educational Consultant,Educational consultant,Educational consultant,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",N/A,N/A,4.6,15.0,"3rd floor 39B, Gopal Phukan Path, Bylane, 1, Ajanta Path, Beltola Tiniali, Guwahati, Assam 781028",Beltola Tiniali,26.124827999999997,91.7940699,ChIJKwvXk9dfWjcROCrraFJRyZ0,https://www.google.com/maps/place/?q=place_id:ChIJKwvXk9dfWjcROCrraFJRyZ0,part_359,2026-09-20 20:49:35,3764
Aspire Abroad Education,Educational Consultant,Educational consultant,"Educational consultant, English language school",782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 70353 35220,http://www.aspireabroad.in/,4.8,71.0,"House no 16, 2nd Floor, Beltola Rd, near Bharat Petroleum petrol pump, Jaya Nagar, Six Mile, Guwahati, Assam 781028","Jaya Nagar, Six Mile",26.129387599999998,91.80669329999999,ChIJ3_NyMwlZWjcRFXjzJ3PBaQE,https://www.google.com/maps/place/?q=place_id:ChIJ3_NyMwlZWjcRFXjzJ3PBaQE,part_359,2026-09-20 20:49:35,3765
