business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Super Exchange,Telemarketing Firms,Marketing consultant,Marketing consultant,782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O",+91 60013 13410,N/A,,,"Jajori, Nagaon Road, Assam 782142",782103,26.3191474,92.56269549999999,ChIJPaDxvYEpRTcRSJcUpYJQ4Mc,https://www.google.com/maps/place/?q=place_id:ChIJPaDxvYEpRTcRSJcUpYJQ4Mc,part_359,2026-09-20 20:49:43,5125
Insight India,Telemarketing Firms,Media house,Media house,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 88120 36686,http://www.insightindialive.in/,,,"782X+RHC, Ulubari, Morigaon, Assam 782105",782104,26.2524516,92.3487016,ChIJRSfjfgDRWjcRvH7g-s7MWdc,https://www.google.com/maps/place/?q=place_id:ChIJRSfjfgDRWjcRvH7g-s7MWdc,part_359,2026-09-20 20:50:17,8513
Mur Print,Telemarketing Firms,Marketing consultant,"Marketing consultant, Print shop",782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 91261 02004,N/A,,,"Front Of, 22, College 82 Road, Laharighat, Raja Gadhowa, Assam 782127",782104,26.4214164,92.3232889,ChIJKSym09opWzcR79gCmWZ2Seg,https://www.google.com/maps/place/?q=place_id:ChIJKSym09opWzcR79gCmWZ2Seg,part_359,2026-09-20 20:50:17,8514
PAYTM KYC CENTER,Telemarketing Firms,Computer store,Computer store,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 86383 97735,N/A,4.0,,"near MORIGAON, Lochanabori, Lalirpar, Assam 782126",782104,26.4157256,92.38435079999999,ChIJz2KOPwTXWjcR_I6njC2ylXw,https://www.google.com/maps/place/?q=place_id:ChIJz2KOPwTXWjcR_I6njC2ylXw,part_359,2026-09-20 20:50:18,8515
Axom Doinik,Telemarketing Firms,Media house,Media house,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",N/A,N/A,4.5,,"97VJ+8RC, Jaribor, Laharighat, Assam 782127",782104,26.3933182,92.2820308,ChIJzRHzFQDZWjcRPGVU-hKOwOY,https://www.google.com/maps/place/?q=place_id:ChIJzRHzFQDZWjcRPGVU-hKOwOY,part_359,2026-09-20 20:50:18,8516
Batori Live 24,Telemarketing Firms,Media house,Media house,782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",N/A,N/A,,,"Jaribor, Tengaguri, Assam 782127",782104,26.392936199999998,92.2819518,ChIJEw5p5ZTZWjcRuoKG6TRfuJk,https://www.google.com/maps/place/?q=place_id:ChIJEw5p5ZTZWjcRuoKG6TRfuJk,part_359,2026-09-20 20:50:18,8517
Insight India Head Office,Telemarketing Firms,Media house,"Media house, Service establishment",782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O",+91 88120 36686,https://www.insightindialive.in/,,,"Insight India Head Office, 782104, India",782104,26.0537736,92.8583166,ChIJ0x3LHKcgTQsRuWmZYrQEqBQ,https://www.google.com/maps/place/?q=place_id:ChIJ0x3LHKcgTQsRuWmZYrQEqBQ,part_359,2026-09-20 20:50:18,8518
SHREE GANESH MARKETING,Telemarketing Firms,Battery Wholesaler,"Battery Wholesaler, Battery Manufacturer, Battery Store, Car battery store, Solar Energy Company, Solar energy system service, Solar energy equipment supplier, Solar photovoltaic power plant",782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O",+91 98649 91555,https://www.findmybusiness.in/business-profile/car-trendzz-FMBCCA0000187,4.9,435.0,"KC Rd, Chatribari Rd, near Christian Hospital Satibari, Chatribari, Guwahati, Assam 781008",Chatribari,26.1776965,91.74596869999999,ChIJJ4Vkzy1aWjcRGjoP9sLQ3XY,https://www.google.com/maps/place/?q=place_id:ChIJJ4Vkzy1aWjcRGjoP9sLQ3XY,part_359,2026-09-20 20:50:53,9828
BPO Convergence Pvt. Ltd.,Telemarketing Firms,BPO Company,BPO Company,782106,Assam Circle,Dibrugarh Region,Nagaon Division,"Charaibahi S.O, Alikuchi B.O, Barchala B.O",+91 70021 65846,http://www.bpoconvergence.com/,3.2,,"GS Rd, Six Mile, Guwahati, Assam 781022",Six Mile,26.1324409,91.8074508,ChIJ_3pWy85YWjcRkr3RGRnE3RY,https://www.google.com/maps/place/?q=place_id:ChIJ_3pWy85YWjcRkr3RGRnE3RY,part_359,2026-09-20 20:51:27,11315
BSNL Telemart,Telemarketing Firms,Telephone Marketing Agency,Telephone Marketing Agency,782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O",+91 1800 345 1500,http://www.bsnl.co.in/,3.8,46.0,"JQCX+49X, Mahabhairab, Tezpur, Assam 784001",Mahabhairab,26.620358699999997,92.7984855,ChIJHanQ3EnoRDcRQ9seb0WIcTE,https://www.google.com/maps/place/?q=place_id:ChIJHanQ3EnoRDcRQ9seb0WIcTE,part_359,2026-09-20 20:52:02,14833
