business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Builders9,Building Material Supplier,Building materials store,Building materials store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 73967 77235,http://www.builders9.com/,4.8,,"8-6-47, 3rd Floor, Zeenath Manzil Piller No - 141, Behind Pai Electricals, beside Kailash Dabha, Attapur, Telangana 500048","Attapur, Mushk Mahal",17.3644583,78.4291537,ChIJDS8SV0CXyzsRd3oyebSICK8,https://www.google.com/maps/place/?q=place_id:ChIJDS8SV0CXyzsRd3oyebSICK8,part_356,2026-09-20 20:54:32,4123
Biswanath Agrawal,Building Material Supplier,Building materials supplier,Building materials supplier,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,,,"Hatibari, Purunapani, Odisha 770046",770046,22.4023655,84.8504849,ChIJ32AWA1YFIDoROt9Mmg_XrXU,https://www.google.com/maps/place/?q=place_id:ChIJ32AWA1YFIDoROt9Mmg_XrXU,part_356,2026-09-20 20:54:32,4124
Build Kingdom | B K TRADERS,Building Material Supplier,Building materials supplier,"Building materials supplier, Brick Manufacturer, Cement Supplier, Crushed stone supplier, Sand & gravel supplier, Steel distributor, Waterproofing service",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,https://www.buildkingdom.in/,4.9,25.0,"3rd Main, 7th, A Cross Rd, LBS Nagar, Vibhutipura, Bengaluru, Karnataka 560017","LBS Nagar, Vibhutipura",12.9682145,77.6741138,ChIJRSd26xATrjsRLGErsgeSFgs,https://www.google.com/maps/place/?q=place_id:ChIJRSd26xATrjsRLGErsgeSFgs,part_356,2026-09-20 20:54:33,4125
Baalwan Building Material Suppliers,Building Material Supplier,Building materials store,Building materials store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 93120 70701,N/A,5.0,19.0,"near Indian Oil Petrol Pump, Sector 82, Gurugram, Haryana 122012",Sector 82,28.397906,76.9591477,ChIJT0HWbK89DTkRU4Qk-rPtMkY,https://www.google.com/maps/place/?q=place_id:ChIJT0HWbK89DTkRU4Qk-rPtMkY,part_356,2026-09-20 20:54:33,4126
Comaron - Building Materials,Building Material Supplier,Building materials store,Building materials store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 72919 57273,https://www.comaron.com/,4.9,51.0,"#242, AltF Success Tower B Suncity Success Tower, Sector 65, Gurugram, Haryana 122101",Sector 65,28.408209,77.0703819,ChIJAbtgZoQjDTkRtGfCiTJ_Pww,https://www.google.com/maps/place/?q=place_id:ChIJAbtgZoQjDTkRtGfCiTJ_Pww,part_356,2026-09-20 20:54:33,4127
Ishika khatana building material suppliers and interiors,Building Material Supplier,Building materials supplier,Building materials supplier,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 89712 72071,N/A,5.0,56.0,"Buapur ullawas road, near Aipl business club, The Close South, Sector 57, Gurugram, Haryana 122011","The Close South, Sector 57",28.4134793,77.07341869999999,ChIJFxy4A1wjDTkRP0MC4okM4As,https://www.google.com/maps/place/?q=place_id:ChIJFxy4A1wjDTkRP0MC4okM4As,part_356,2026-09-20 20:54:33,4128
Dalal Building Material Supplier,Building Material Supplier,Building materials supplier,Building materials supplier,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 97281 02968,N/A,4.9,144.0,"near Kumau Sabha Mandir, Ekta Colony, Beniwal Nagar, Rohtak, Haryana 124001","Ekta Colony, Beniwal Nagar",28.874222999999997,76.5955689,ChIJbbPI-MeFDTkR_JO6YcjqWqQ,https://www.google.com/maps/place/?q=place_id:ChIJbbPI-MeFDTkR_JO6YcjqWqQ,part_356,2026-09-20 20:54:33,4129
Anjali Builders,Building Material Supplier,Building materials store,Building materials store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98746 98624,N/A,4.5,39.0,"326, Shahid Nani Saha Sarani, Rabindra Nagar, Alipore, Nimta, North Dumdum, West Bengal 700049","Rabindra Nagar, Alipore, Nimta",22.6565638,88.4099171,ChIJM_qy7P2f-DkRPSI0dZs8i9k,https://www.google.com/maps/place/?q=place_id:ChIJM_qy7P2f-DkRPSI0dZs8i9k,part_356,2026-09-20 20:54:33,4130
Mahadev Traders,Building Material Supplier,Building materials supplier,Building materials supplier,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 92780 96596,N/A,5.0,,"RZ-5P/366, Dayal Park, West Sagarpur, Sagar Pur, New Delhi, Delhi, 110046","Dayal Park, West Sagarpur, Sagar Pur",28.6029974,77.0931547,ChIJt-tfMu0bDTkRWU4k3NyZcRg,https://www.google.com/maps/place/?q=place_id:ChIJt-tfMu0bDTkRWU4k3NyZcRg,part_356,2026-09-20 20:54:34,4131
Poul Cement works construction,Building Material Supplier,Building materials supplier,"Building materials supplier, Building materials market, Construction Material Wholesaler, Cement Supplier, Concrete product supplier",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 74017 78297,https://sites.google.com/d/1tvbUPp12i4Pp5TVb303OyhhJcMwj4hq8/p/1hr99qRhzes28x1e-i-8w79mHl7Iw-AsL/edit,4.8,,"No: 17 sivaji Nagar 3rd street, Vallanchery Main Rd, guduvancher, Chennai, Tamil Nadu 603202",guduvancher,12.835900299999999,80.0543009,ChIJR2oQgLr3UjoROLQfmHEQ9zw,https://www.google.com/maps/place/?q=place_id:ChIJR2oQgLr3UjoROLQfmHEQ9zw,part_356,2026-09-20 20:54:34,4132
Ultra Enterprise,Building Material Supplier,Building materials store,Building materials store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 99991 49404,N/A,4.8,,"Palam Vihar Extension, Gurugram, Inayatpur, Haryana 122017",Palam Vihar Extension,28.495933299999997,77.0575613,ChIJS2iNaesZDTkRE_ZWRL6UFpw,https://www.google.com/maps/place/?q=place_id:ChIJS2iNaesZDTkRE_ZWRL6UFpw,part_356,2026-09-20 20:54:34,4133
K K Builder Material Supplier,Building Material Supplier,Building materials supplier,"Building materials supplier, Building materials market, Construction Material Wholesaler, Crane rental agency, Crane service, Forklift rental service, Marble contractor, Marble supplier",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 80584 09009,N/A,5.0,,"Block F, Sushant Lok 2, Sector 57, Gurugram, Ghata, Haryana 122011","Block F, Sushant Lok 2, Sector 57",28.416863499999998,77.08881989999999,ChIJ-R0EVE0jDTkRCXNQXe0iFVE,https://www.google.com/maps/place/?q=place_id:ChIJ-R0EVE0jDTkRCXNQXe0iFVE,part_356,2026-09-20 20:54:34,4134
Shri Sai Building Material Supplier,Building Material Supplier,Building materials store,Building materials store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98185 17858,N/A,5.0,,"Railway Crossing, near Chiranjiv Bharti, Choma, Ganga Vihar, New Palam Vihar Phase 3, Sector 110A, Gurugram, Haryana 122017","Choma, Ganga Vihar, New Palam Vihar Phase 3, Sector 110A",28.517090999999997,77.034272,ChIJxSemzSEaDTkRfu8wPRZkv0I,https://www.google.com/maps/place/?q=place_id:ChIJxSemzSEaDTkRfu8wPRZkv0I,part_356,2026-09-20 20:54:34,4135
