business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Om Shakthi Chit Funds Private Limited,Chit Fund Company,Loan agency,Loan agency,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 97033 17757,N/A,4.2,10.0,"H.No: 1, Temple Alwal Rd, beside Police Station, Golnaka, Alwal, Hyderabad, Secunderabad, Telangana 500010","Golnaka, Alwal",17.503054,78.51096799999999,ChIJmcrCwCybyzsR3HoUTF9ll1s,https://www.google.com/maps/place/?q=place_id:ChIJmcrCwCybyzsR3HoUTF9ll1s,part_356,2026-09-20 20:54:47,6732
Jainam Chit Funds Pvt. LTd.,Chit Fund Company,Financial planner,Financial planner,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 97431 95900,https://www.jainamchitfunds.com/,5.0,12.0,"4th floor, Adishwar Complex, 21/405, Chickpet Rd, Ragipet, D.S.Lane, Chickpet, Bengaluru, Karnataka 560053","Ragipet, D.S.Lane, Chickpet",12.9686164,77.577159,ChIJV4ZqmacXrjsRbrVNuv8Q5to,https://www.google.com/maps/place/?q=place_id:ChIJV4ZqmacXrjsRbrVNuv8Q5to,part_356,2026-09-20 20:54:47,6733
J N Chit Funds Pvt Ltd,Chit Fund Company,Corporate office,Corporate office,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,5.0,11.0,"25c, Asoka Ave, Boopathy Nagar, Kodambakkam, Chennai, Tamil Nadu 600024","Boopathy Nagar, Kodambakkam",13.0487527,80.2222948,ChIJ5-JYFwBnUjoRNhrwm9By0d0,https://www.google.com/maps/place/?q=place_id:ChIJ5-JYFwBnUjoRNhrwm9By0d0,part_356,2026-09-20 20:54:47,6734
FLOTUS CHITS PRIVATE LIMITED,Chit Fund Company,Financial institution,Financial institution,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98807 95559,N/A,4.7,489.0,"2nd Floor, No.56, 7th B Main Rd, near Ganapati Temple, 4th Block, Jayanagar, Bengaluru, Karnataka 560011","4th Block, Jayanagar",12.9294981,77.5822989,ChIJ95TBSHYVrjsRU_riYm_FuD8,https://www.google.com/maps/place/?q=place_id:ChIJ95TBSHYVrjsRU_riYm_FuD8,part_356,2026-09-20 20:54:47,6735
Jagapathi chits pvt ltd,Chit Fund Company,Financial institution,Financial institution,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98801 97563,http://www.jagapathichits.com/,4.6,64.0,"# 16, Old no. 38, JAGAPATHI, 1sr Floor, 2nd A Main, 3rd Cross Rd, next to pathala panchanageswara Kalyana mantapa, JC Nagar, Mico Layout, Mahalakshmi Layout, Bengaluru, Karnataka 560086","Sriram Nagar, JC Nagar, Mico Layout, Mahalakshmi Layout",13.003835899999999,77.5394281,ChIJw7tICvU9rjsR75aG5jrvkF4,https://www.google.com/maps/place/?q=place_id:ChIJw7tICvU9rjsR75aG5jrvkF4,part_356,2026-09-20 20:54:47,6736
Kodachadri Chits Pvt. Ltd.,Chit Fund Company,Financial institution,Financial institution,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 70906 66444,https://mykcpl.com/,4.6,1637.0,"158, 1st Floor, 8th Cross Rd, near Tamara Hospital, 1st N Block, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010","1st N Block, 2nd Stage, Rajajinagar",13.0045304,77.5531401,ChIJb2MaOPA9rjsRhSEMzixbo-I,https://www.google.com/maps/place/?q=place_id:ChIJb2MaOPA9rjsRhSEMzixbo-I,part_356,2026-09-20 20:54:47,6737
Navachethana Chits Company Pvt. Ltd,Chit Fund Company,Financial consultant,Financial consultant,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 77608 33500,http://www.navachethana.com/,4.8,24.0,"Beauty Plaza Building, No. 14-4-501/16, 1st Floor, Balmatta Road, Mangaluru, Karnataka 575001",Hampankatta,12.8696469,74.845236,ChIJNW2I80taozsRtDxyqUR_qO0,https://www.google.com/maps/place/?q=place_id:ChIJNW2I80taozsRtDxyqUR_qO0,part_356,2026-09-20 20:54:47,6738
Northeast Chit Fund Services,Chit Fund Company,Investment service,"Investment service, Financial consultant, Financial institution, Financial planner",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 90007 02720,https://chitfundnortheastworld.com/,4.7,87.0,"1st Floor, 1-7-301/24 to 27, Mahatma Gandhi Rd, Kalasiguda, Secunderabad, Hyderabad, Telangana 500003",Kalasiguda,17.4397043,78.4886357,ChIJIWIypBybyzsRlv6oF8O3rNY,https://www.google.com/maps/place/?q=place_id:ChIJIWIypBybyzsRlv6oF8O3rNY,part_356,2026-09-20 20:54:47,6739
Sai Likhith Chit Funds,Chit Fund Company,Financial institution,"Financial institution, Corporate office",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 90101 04162,http://sailikhithchitfunds.com/,4.9,58.0,"H.NO.60-009/8/2, Medchal Rd, nr. IDPL, beside Indian Petrol bunk, Chandra Nagar, Chinthal, Quthbullapur, Hyderabad, Telangana 500037","Chandra Nagar, Chinthal, Quthbullapur",17.4884886,78.4501064,ChIJiYXr4IGRyzsR4kRYM3Dmk_s,https://www.google.com/maps/place/?q=place_id:ChIJiYXr4IGRyzsR4kRYM3Dmk_s,part_356,2026-09-20 20:54:47,6740
Bhavithasri Chit Fund Pvt Ltd,Chit Fund Company,Investment service,Investment service,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 96660 01752,N/A,3.3,16.0,"Shop No. 2 & 3, 2nd Floor, Sai Satya Commercial Complex, Kukatpally Housing Board Rd, Bhagya Nagar Colony, Venkat Nagar Colony, Hyderabad, Telangana 500072","Bhagya Nagar Colony, Venkat Nagar Colony",17.4934998,78.4032876,ChIJHVe9MeuRyzsRX-PrdCoYsyY,https://www.google.com/maps/place/?q=place_id:ChIJHVe9MeuRyzsRX-PrdCoYsyY,part_356,2026-09-20 20:54:47,6741
