business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GOEL ENTERPRISES,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,https://goelenterprisesinfo.blogspot.com/?m=1,5.0,4.0,"Hatamuniguda Rd, Muniguda, Odisha 765020",766011,19.6208794,83.5038309,ChIJLR5sTIWvJDoRA3uPsbENEQQ,https://www.google.com/maps/place/?q=place_id:ChIJLR5sTIWvJDoRA3uPsbENEQQ,part_352,2026-09-20 20:18:16,2485
UTKAL HARDWARE,Sanitaryware and Bathroom Fittings,Building materials supplier,"Building materials supplier, Paint store, Pipes Wholesaler, Plywood supplier, Tile store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 63726 29214,N/A,5.0,81.0,"BESIDE SISU VIDYA MANDIR, AT- BODEN, ROAD, Gadramunda, Khariar, Odisha 766107",766011,20.2999232,82.748971,ChIJ2Y4ifYmvJToRhvGzqi_CT48,https://www.google.com/maps/place/?q=place_id:ChIJ2Y4ifYmvJToRhvGzqi_CT48,part_352,2026-09-20 20:18:16,2486
CHOTILAMATA ENTERPRISES,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Adhesives & Glue Supplier, Tile store, Building materials supplier, Construction Material Wholesaler, Hardware store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 96586 79899,N/A,5.0,23.0,"Word n.9, Purani basti Gulap mahal, Kantabanji, Odisha 767039",766011,20.46555,82.92005139999999,ChIJh4IqcJBNJDoRRZe5whsOdBc,https://www.google.com/maps/place/?q=place_id:ChIJh4IqcJBNJDoRRZe5whsOdBc,part_352,2026-09-20 20:18:16,2487
Jaquar Authorized Dealer - Kiran Sanitary And Machinary,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Home improvement store, Kitchen supply store, Shower door shop",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 8071 912 255,https://dealers.jaquar.com/jaquar/sanitaryware-store-in-balangir/sanitaryware-store-in-dailymarket-road/jaquar-authorised-dealer-kiran-sanitary-and-machinary-in-dailymarket-road-balangir--b0a93932-e3bc-4248-b71e-b305959e171e/home,4.2,16.0,"Club Road, Dailymarket Rd, opposite IDBI Bank, Balangir, Odisha 767001",766011,20.7051956,83.49093789999999,ChIJC_9B074OJDoRyotqDuz-f94,https://www.google.com/maps/place/?q=place_id:ChIJC_9B074OJDoRyotqDuz-f94,part_352,2026-09-20 20:18:16,2488
S S SANITARY WORLD,Sanitaryware and Bathroom Fittings,Pipe supplier,Pipe supplier,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70086 14798,N/A,5.0,4.0,"NH 26, Balangir, Odisha 767001",766011,20.7128682,83.4935323,ChIJJ6-Ski8PJDoRA7qfPXf84P8,https://www.google.com/maps/place/?q=place_id:ChIJJ6-Ski8PJDoRA7qfPXf84P8,part_352,2026-09-20 20:18:16,2489
Kajaria Tiles Authorised Showroom - Jain Traders,Sanitaryware and Bathroom Fittings,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94370 70135,https://dealers.kajariaceramics.com/kajaria-tiles-in-odisha-kalahandi-bhawanipatna-82865,4.3,16.0,"Jain Traders, College Chowk, near Delhi public school, in front of sadar police station, Kanakpur, Bhawanipatna, Odisha 766001",Kanakpur,19.921768399999998,83.1764705,ChIJsxoE8eLtJDoR26O_qj9D8rQ,https://www.google.com/maps/place/?q=place_id:ChIJsxoE8eLtJDoR26O_qj9D8rQ,part_352,2026-09-20 20:18:16,2490
"CR ENTERPRISES (Sanitary,Paints(JSW,Asian,Dulux),Plumbing pipes,Bathroom fittings,Industrial Gases, Oxygen, Argon, Co2)",Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Industrial gas supplier, Oxygen equipment supplier, Paint store, Pipe supplier",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 97763 22630,N/A,5.0,33.0,"in front of BAJAJ SHOWROOM, Gandhi Nagar Para, Balangir, Odisha 767001",Gandhi Nagar Para,20.7116576,83.4926868,ChIJ6bv013cPJDoRL4BLUBtucns,https://www.google.com/maps/place/?q=place_id:ChIJ6bv013cPJDoRL4BLUBtucns,part_352,2026-09-20 20:18:16,2491
Annapurna Enterprises,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Plumbing supply store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 98612 78765,N/A,4.4,8.0,"Infront of Pansari Steel, Old SBI Rd, Balangir, Odisha 767001",Radharani Para,20.7062725,83.4922371,ChIJXyjD0LgOJDoR1DP6LcD1Vcs,https://www.google.com/maps/place/?q=place_id:ChIJXyjD0LgOJDoR1DP6LcD1Vcs,part_352,2026-09-20 20:18:16,2492
"AP Beautiful Homes - Biswanath Enterprises | Modular Kitchens, Doors & Windows, Paints, Wallcoverings & more",Sanitaryware and Bathroom Fittings,Interior designer,"Interior designer, Bathroom supply store, Fitted furniture supplier, Kitchen remodeler, Lighting store, Window supplier, Window treatment store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 79 4746 9510,https://www.beautifulhomes.asianpaints.com/interior-designs.html,5.0,368.0,"Building No 028, behind Bharat petrol pump, Tikrapara, Balangir, Odisha 767001",Tikrapara,20.7053075,83.4889766,ChIJ-SF45lIPJDoR8H-jN22MeYc,https://www.google.com/maps/place/?q=place_id:ChIJ-SF45lIPJDoR8H-jN22MeYc,part_352,2026-09-20 20:18:16,2493
ROYAL SANITARY,Sanitaryware and Bathroom Fittings,Store,Store,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 93377 98999,N/A,4.5,16.0,"Shreekhetra Vihar, Patrapada, Bhubaneswar, Odisha 751019","Shreekhetra Vihar, Patrapada",20.2448691,85.7736639,ChIJi9Ddc2CnGToRwgDFZf-JYnc,https://www.google.com/maps/place/?q=place_id:ChIJi9Ddc2CnGToRwgDFZf-JYnc,part_352,2026-09-20 20:18:16,2494
Nirmal Tiles,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 80 3790 7970,https://stores.hrjohnsonindia.com/h-r-johnson/tiles-shop-in-kandhamal/tiles-shop-in-baliguda/h-r-johnson-tiles-dealer-nirmal-trading-co-in-baliguda-kandhamal--cf36d445-e52c-4fa3-b486-8c640537309b/home,4.7,52.0,"AMCS Market Complex, nearby Bus Stand, Balliguda, Odisha 762103",766011,20.196454199999998,83.9153003,ChIJ9ah90vp1IzoRhjB8HTOeYlc,https://www.google.com/maps/place/?q=place_id:ChIJ9ah90vp1IzoRhjB8HTOeYlc,part_352,2026-09-20 20:18:16,2495
KAMALA BATHS & HARDWARE,Sanitaryware and Bathroom Fittings,Building materials supplier,Building materials supplier,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,2.0,"Plot No:293, District Center, Chandrasekharpur, Bhubaneswar, Odisha 751023","District Center, Chandrasekharpur",20.316562299999998,85.81810639999999,ChIJe-vSdj0JGToRO5GXUVBxItY,https://www.google.com/maps/place/?q=place_id:ChIJe-vSdj0JGToRO5GXUVBxItY,part_352,2026-09-20 20:18:16,2496
Kajaria Tiles Authorised Showroom - Jain Traders,Sanitaryware and Bathroom Fittings,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 94370 70135,https://dealers.kajariaceramics.com/kajaria-tiles-in-odisha-kalahandi-bhawanipatna-77514,,,"Mahavir Pada, Rayagada - Bhawanipatna Rd, near Puspa Lodge, Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.9077449,83.1656532,ChIJa5SCe3_rJDoRSyG-wteZUxk,https://www.google.com/maps/place/?q=place_id:ChIJa5SCe3_rJDoRSyG-wteZUxk,part_352,2026-09-20 20:18:16,2497
