business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jindal Panther TMT Dealer - Anshika Enterprises |TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 95835 91234,https://www.jindalpanther.com/,,,"FR56+WFX, Mukhiguda Rd, Jaipatna, Odisha 766018",766011,19.459854399999998,82.81124059999999,ChIJdQxu0lYtJToRcHthE1qLD5A,https://www.google.com/maps/place/?q=place_id:ChIJdQxu0lYtJToRcHthE1qLD5A,part_352,2026-09-20 20:18:17,2664
Jindal Panther TMT Dealer - Goyal Agency | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 95838 27272,https://www.jindalpanther.com/,,,"Jaipatna - Mukhiguda Rd, Jaipatna, Odisha 766018",766011,19.460868899999998,82.8109017,ChIJUXLMUg4tJToRzfYs20f-5iU,https://www.google.com/maps/place/?q=place_id:ChIJUXLMUg4tJToRzfYs20f-5iU,part_352,2026-09-20 20:18:17,2665
Jindal Panther TMT Dealer - Ghanashyam Traders | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 91789 85553,https://www.jindalpanther.com/,,,"Vw8X+6V8, Junagarh, Meriabandhali, Odisha 766014",766011,19.8657728,82.9486811,ChIJxzn4jCrhJDoRUXB-FkTd_e8,https://www.google.com/maps/place/?q=place_id:ChIJxzn4jCrhJDoRUXB-FkTd_e8,part_352,2026-09-20 20:18:17,2666
Jindal Panther TMT Dealer - Ramgopal Agrawal | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 86582 72020,https://www.jindalpanther.com/,,,"Main Road, Junagarh, Odisha 766014",766011,19.8508562,82.8312436,ChIJH1PKmQsfJToREIzC8AIydDo,https://www.google.com/maps/place/?q=place_id:ChIJH1PKmQsfJToREIzC8AIydDo,part_352,2026-09-20 20:18:17,2667
Jindal Panther TMT Dealer - Raj Hardware Store | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 97770 00972,https://www.jindalpanther.com/,,,"Jaipatna, Odisha 766018",766011,19.5797977,82.81406969999999,ChIJKxn71nEvJToRPYOl_H_E43A,https://www.google.com/maps/place/?q=place_id:ChIJKxn71nEvJToRPYOl_H_E43A,part_352,2026-09-20 20:18:17,2668
Jindal Panther TMT Dealer - Nishant Traders |TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 79780 48100,https://www.jindalpanther.com/,,,"Khata No.426/288, Plot No.549/1920, Dharamgarh, Bikramguda, Odisha 766015",Dharamgarh,19.8730697,82.7927315,ChIJzXxdI7IZJToRXjUoHM_yAYo,https://www.google.com/maps/place/?q=place_id:ChIJzXxdI7IZJToRXjUoHM_yAYo,part_352,2026-09-20 20:18:17,2669
Jindal Panther TMT Dealer - Pragyan Traders|TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 77490 77241,https://www.jindalpanther.com/,,,"near College, Dharmagarh, Odisha 766015",766011,19.8653083,82.79004789999999,ChIJTTT2Lu8ZJToRk4m265dgHzM,https://www.google.com/maps/place/?q=place_id:ChIJTTT2Lu8ZJToRk4m265dgHzM,part_352,2026-09-20 20:18:17,2670
Jindal Panther TMT Dealer - Chandramani Sales | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 99375 52807,https://www.jindalpanther.com/,,,"Vw4H+7Jp, Junagarh, Odisha 766023",766011,19.8563614,82.9293512,ChIJAz3s1QThJDoRe9D_PzzW1lU,https://www.google.com/maps/place/?q=place_id:ChIJAz3s1QThJDoRe9D_PzzW1lU,part_352,2026-09-20 20:18:17,2671
Jindal Panther TMT Dealer - K K Enterprises |TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 70085 65981,https://www.jindalpanther.com/,,,"Main Road, Dharmagarh, Odisha 766015",766011,19.880590899999998,82.7888079,ChIJpUmniGQZJToR0Yq2-CPjEuM,https://www.google.com/maps/place/?q=place_id:ChIJpUmniGQZJToR0Yq2-CPjEuM,part_352,2026-09-20 20:18:17,2672
Jindal Panther TMT Dealer - Ranisati Distributor|TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 95838 49508,https://www.jindalpanther.com/,,,"Saria - Kesinga Rd, Kuten, Masani munda, Odisha 766012",766011,20.184141099999998,83.2109447,ChIJJe8RnWH1JDoRgx3N0d9tGZw,https://www.google.com/maps/place/?q=place_id:ChIJJe8RnWH1JDoRgx3N0d9tGZw,part_352,2026-09-20 20:18:17,2673
Jindal Panther TMT Dealer - Annapurna Steels |TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 81441 48994,https://www.jindalpanther.com/,,,"Ward No-9, At, Msa Chowk, Khatia No-189, 2856, Bhawanipatna - Raipur Hwy, Odisha 766001",Naktiguda,19.9144483,83.1620231,ChIJx3RPpgHvJDoRz7RItPLgfNg,https://www.google.com/maps/place/?q=place_id:ChIJx3RPpgHvJDoRz7RItPLgfNg,part_352,2026-09-20 20:18:17,2674
Jindal Panther TMT Dealer - Thakur Buildtech Private Limited | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 99370 98317,https://www.jindalpanther.com/,,,"Sambhunagar Pada, Kandha Bando pala, Bhawanipatna, Odisha 766001",Sambhunagar Pada,19.9061678,83.1487113,ChIJBTcMNbrpJDoR8K6xRJB1cwY,https://www.google.com/maps/place/?q=place_id:ChIJBTcMNbrpJDoR8K6xRJB1cwY,part_352,2026-09-20 20:18:17,2675
