business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Industrial Growth Centre, Matia",Industrial Estate / GIDC / MIDC / SIPCOT,Manufacturer,Manufacturer,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,4.1,,"Road, Guwahati Road, Dudhnoi, Mornoi, Assam 783101",781327,26.0881819,90.74467949999999,ChIJwRHjFXi3WTcRIDFE0RIr8C4,https://www.google.com/maps/place/?q=place_id:ChIJwRHjFXi3WTcRIDFE0RIr8C4,part_358,2026-09-20 20:49:32
Brahmaputra Industrial Park,Industrial Estate / GIDC / MIDC / SIPCOT,Business park,Business park,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,4.1,,"6PC3+JVV, Barpeta Daulshal Hojo Rd, Amingaon, Guwahati, Silamahekhaity, Assam 781101",Amingaon,26.221611,91.70466689999999,ChIJIUdt8ndQWjcRwzEYMhs35RM,https://www.google.com/maps/place/?q=place_id:ChIJIUdt8ndQWjcRwzEYMhs35RM,part_358,2026-09-20 20:49:32
Bamboo Technology Park,Industrial Estate / GIDC / MIDC / SIPCOT,Non-profit organization,Non-profit organization,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 88762 62353,https://www.bambootechnologypark.com/,4.0,,"Industrial Growth Centre, Jambari No.2, Dist, Chhaygaon, Assam 781141",781327,26.046956899999998,91.2741683,ChIJ2Vbya6JZWjcRxr1cfOBJkPQ,https://www.google.com/maps/place/?q=place_id:ChIJ2Vbya6JZWjcRxr1cfOBJkPQ,part_358,2026-09-20 20:49:32
Indian Oil Corporation Ltd Digboi Refinery,Industrial Estate / GIDC / MIDC / SIPCOT,Oil refinery,Oil refinery,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 1800 233 3555,https://iocl.com/pages/digboi-refinery,4.4,,"9JVC+865, NH 215, Digboi, Assam 786171",781327,27.393267299999998,95.62060819999999,ChIJOeEOpUwiPzcRviU7-xzz28M,https://www.google.com/maps/place/?q=place_id:ChIJOeEOpUwiPzcRviU7-xzz28M,part_358,2026-09-20 20:49:32
Assam Industrial Development Corporation Limited AIDC,Industrial Estate / GIDC / MIDC / SIPCOT,Government office,Government office,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 361 220 1215,N/A,4.2,,"A-4, RG Baruah Rd, Ambikagirinagar, Guwahati, Assam 781024",Ambikagirinagar,26.1697766,91.77921599999999,ChIJ5yE1mQlZWjcR2LLnGogwT6M,https://www.google.com/maps/place/?q=place_id:ChIJ5yE1mQlZWjcR2LLnGogwT6M,part_358,2026-09-20 20:49:32
IGC Chaygaon,Industrial Estate / GIDC / MIDC / SIPCOT,Corporate office,Corporate office,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,https://industries.assam.gov.in/portlet-innerpage/industrial-growth-centre-chaygaon-patgaon-jambari,4.2,,"27GF+6PJ, Unnamed Road, Bamuni Gaon, Shalamukh, Assam 781123",781327,26.0255892,91.274264,ChIJsf8VPkcfWjcR3Lmbh22IcdY,https://www.google.com/maps/place/?q=place_id:ChIJsf8VPkcfWjcR3Lmbh22IcdY,part_358,2026-09-20 20:49:32
SAROJ LEATHERS ( I) PVT LTD,Industrial Estate / GIDC / MIDC / SIPCOT,Tannery,Tannery,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,4.0,,"85A - Phase II , Puliyanthagal Sipcot Industrial Estate, Narasingapuram, Tamil Nadu 632403",Ranipet Sipcot,12.9673088,79.2960362,ChIJlcieeBxKrTsR0mBjiLtGPks,https://www.google.com/maps/place/?q=place_id:ChIJlcieeBxKrTsR0mBjiLtGPks,part_358,2026-09-20 20:49:32
"Industrial Growth Center, Balipara, AIDC",Industrial Estate / GIDC / MIDC / SIPCOT,Restaurant,Restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,4.4,,"QQ63+8Q4, Bindukuri T.E. No.2, Assam 784105",Bindukuri T.E. No.2,26.7607544,92.7544501,ChIJo_pMSHLARDcRX759ByHTQ4c,https://www.google.com/maps/place/?q=place_id:ChIJo_pMSHLARDcRX759ByHTQ4c,part_358,2026-09-20 20:49:32
Office Of The Commissioner Of Industries & Commerce,Industrial Estate / GIDC / MIDC / SIPCOT,Government office,Government office,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 361 255 0264,http://industriescom.assam.gov.in/,4.2,,"Udyog Bhawan, Maniram Dewan Rd, Bamunimaidan, Guwahati, Assam 781021",Bamunimaidan,26.1834909,91.7871493,ChIJISZfG65ZWjcRNgNddDHA4zU,https://www.google.com/maps/place/?q=place_id:ChIJISZfG65ZWjcRNgNddDHA4zU,part_358,2026-09-20 20:49:32
J. R. SOLUTIONS,Industrial Estate / GIDC / MIDC / SIPCOT,Water treatment plant,Water treatment plant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,5.0,,"Bhutan Rd, Pathsala, Bajali, Assam 781325",781327,26.5112651,91.17634149999999,ChIJj_0MQB59WTcRvd7JK16rDHI,https://www.google.com/maps/place/?q=place_id:ChIJj_0MQB59WTcRvd7JK16rDHI,part_358,2026-09-20 20:49:32
