business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Tanwani Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 82497 23477,N/A,3.6,,"Khujenpali, Odisha 767002",767032,20.6881226,83.49046249999999,ChIJnbnq36MOJDoRPwU2kXi-A9k,https://www.google.com/maps/place/?q=place_id:ChIJnbnq36MOJDoRPwU2kXi-A9k,part_353,2026-09-20 20:17:57,158
Sinha Complex Market,Rice and Grain Merchant,Market,Market,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",N/A,N/A,3.7,,"97QG+X42, Hwy 59, Makri, Odisha 767032",767032,20.3898921,83.27525539999999,ChIJpSW-D99nJDoRLqdK1BxK6QI,https://www.google.com/maps/place/?q=place_id:ChIJpSW-D99nJDoRLqdK1BxK6QI,part_353,2026-09-20 20:17:57,159
Shree Shyamji Paddy Processing Pvt.Ltd,Rice and Grain Merchant,Rice mill,Rice mill,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 82828 28755,N/A,5.0,,"Main Road, Salandi, Beherensilet, Odisha 767039",767032,20.5118507,82.9221159,ChIJQyRLVz9LJDoReSVQidaSOJc,https://www.google.com/maps/place/?q=place_id:ChIJQyRLVz9LJDoReSVQidaSOJc,part_353,2026-09-20 20:17:57,160
Reliance Smart Point,Rice and Grain Merchant,Grocery store,Grocery store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",N/A,N/A,3.8,,"C9V5+P8, Saintala, Odisha 767032",767032,20.444283499999997,83.3582411,ChIJr0y0URFvJDoRb_VsyFgRTuc,https://www.google.com/maps/place/?q=place_id:ChIJr0y0URFvJDoRb_VsyFgRTuc,part_353,2026-09-20 20:17:57,161
HINDUSTAN SEEDS PVT LTD,Rice and Grain Merchant,Agricultural Seed Store,Agricultural Seed Store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 94392 90215,https://www.indiamart.com/hindustanseeds/,4.5,,"near POLICE STATION, Police Colony, Thikadar para, Titilagarh, Odisha 767033","Police Colony, Thikadar para",20.289024899999998,83.1510847,ChIJmUNR8a5ZJDoRmN6PzTqn3ZQ,https://www.google.com/maps/place/?q=place_id:ChIJmUNR8a5ZJDoRmN6PzTqn3ZQ,part_353,2026-09-20 20:17:57,162
MAA SANTOSHI FRUITS COMPANY,Rice and Grain Merchant,Fruit and vegetable wholesaler,"Fruit and vegetable wholesaler, Fruit wholesaler",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 81441 17293,N/A,4.5,,"Near New Busstand, behind BSNL Doorsanchar Bhawan, Balangir, Odisha 767001",767032,20.6835815,83.4756527,ChIJ57c3IWAPJDoR3ycmpf35A-o,https://www.google.com/maps/place/?q=place_id:ChIJ57c3IWAPJDoR3ycmpf35A-o,part_353,2026-09-20 20:17:57,163
Charchika Store,Rice and Grain Merchant,Rice wholesaler,Rice wholesaler,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 88954 36080,N/A,5.0,,"248, Sailashree Vihar Road, Damana Square - Damana School Rd, Bhubaneswar, Odisha 751021","Kanak Durga Nagar, Patia",20.3327778,85.82056539999999,ChIJw6-Akc4JGToRUwgDgqSkaP4,https://www.google.com/maps/place/?q=place_id:ChIJw6-Akc4JGToRUwgDgqSkaP4,part_353,2026-09-20 20:17:57,164
R. K Mohanty Kirana Store,Rice and Grain Merchant,Indian grocery store,Indian grocery store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",N/A,N/A,4.3,,"Karlabahali, Kantabanji, Odisha 767039",767032,20.4689309,82.9088986,ChIJhf_yG6tMJDoRox2swC53yu4,https://www.google.com/maps/place/?q=place_id:ChIJhf_yG6tMJDoRox2swC53yu4,part_353,2026-09-20 20:17:57,165
Lovely fancy and kirana store,Rice and Grain Merchant,Home goods store,Home goods store,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",N/A,N/A,4.8,,"Infront of Agragami club, Batharla, Odisha 767025",767032,20.7077073,83.0981736,ChIJ-_kSdSE7JDoRbiqOWB_W1NA,https://www.google.com/maps/place/?q=place_id:ChIJ-_kSdSE7JDoRbiqOWB_W1NA,part_353,2026-09-20 20:17:57,166
R K TRADING CO.,Rice and Grain Merchant,Wholesale grocer,"Wholesale grocer, Food products supplier, Grocery delivery service, Wholesale Food Store, Wholesale market, Wholesaler",767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 70088 17662,N/A,4.6,,"near Hanuman Chabila Mandir, Marwari Para, Jharsuguda, Odisha 768201",Marwari Para,21.8548051,84.0145872,ChIJs0SLp3PnIDoRAQuSRWSQ6Tw,https://www.google.com/maps/place/?q=place_id:ChIJs0SLp3PnIDoRAQuSRWSQ6Tw,part_353,2026-09-20 20:17:57,167
