business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
E.N.T OPD,ENT Clinic,ENT Specialist,ENT Specialist,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",N/A,N/A,5.0,,"PF5V+CPH, Radharani Para, Balangir, Odisha 767001",Radharani Para,20.708807,83.4946014,ChIJDTDJwsMPJDoRPgYxhIW7juc,https://www.google.com/maps/place/?q=place_id:ChIJDTDJwsMPJDoRPgYxhIW7juc,part_353,2026-09-20 20:18:10,1801
Souri Advanced ENT Care,ENT Clinic,Hospital,Hospital,767032,Odisha Circle,Sambalpur Region,Balangir Division,"Saintala S.O, Ampali B.O, Belgaon B.O",+91 80105 21340,N/A,4.6,,"near Income Tax Office, Ainthapali, Sambalpur, Odisha 768004",Ainthapali,21.4902724,83.9922563,ChIJjaUXvvIWIToR7GliGWj_ZHw,https://www.google.com/maps/place/?q=place_id:ChIJjaUXvvIWIToR7GliGWj_ZHw,part_353,2026-09-20 20:18:11,1802
ENT SPECIALIST DR. N.K. Mishra clinic,ENT Clinic,ENT Specialist,ENT Specialist,767033,Odisha circle,Sambalpur Region,Balangir Division,"Alanda B.O, Bijepur B.O, Binekela B.O",N/A,N/A,,,"56QF+P6P, Durga Mandap Rd, Ward Number 3, Dumermunda, Kesinga, Odisha 766012",Ward Number 3,20.189331199999998,83.2230744,ChIJfbkkEQD1JDoRVoXucgJocAM,https://www.google.com/maps/place/?q=place_id:ChIJfbkkEQD1JDoRVoXucgJocAM,part_353,2026-09-20 20:18:56,6757
Dr. Jadumani Nayak,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor",767035,Odisha circle,Sambalpur Region,Balangir Division,"Bhursaguda B.O, Chandotara B.O, Dedgaon B.O",+91 91241 06687,N/A,4.6,,"Bhatli Chowk, Bargarh, Odisha 768028",767035,21.3434798,83.6082675,ChIJP7m5BV1LIToRJNn67HBFiBA,https://www.google.com/maps/place/?q=place_id:ChIJP7m5BV1LIToRJNn67HBFiBA,part_353,2026-09-20 20:19:43,8974
Dr. Satyajit Mishra- Ent In Sambalpur,ENT Clinic,ENT Specialist,"ENT Specialist, Deaf service, Oral surgeon, Otolaryngology clinic, Speech & Hearing Specialist",767035,Odisha circle,Sambalpur Region,Balangir Division,"Bhursaguda B.O, Chandotara B.O, Dedgaon B.O",N/A,https://drsatyajitmishra.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,4.1,,"Kainsir Rd, Ainthapali, Sambalpur, Odisha 768006",Ainthapali,21.4965306,83.9861955,ChIJhWoUp589IToRhnRGSMsgeh8,https://www.google.com/maps/place/?q=place_id:ChIJhWoUp589IToRhnRGSMsgeh8,part_353,2026-09-20 20:19:43,8975
Dr Sahu,ENT Clinic,Doctor,Doctor,767035,Odisha circle,Sambalpur Region,Balangir Division,"Bhursaguda B.O, Chandotara B.O, Dedgaon B.O",N/A,N/A,,,"Jagannath Para, Titilagarh, Odisha 767033",Jagannath Para,20.290222699999998,83.1513038,ChIJv4x0c1hZJDoRutcHNkZUxMo,https://www.google.com/maps/place/?q=place_id:ChIJv4x0c1hZJDoRutcHNkZUxMo,part_353,2026-09-20 20:19:44,8976
Dr Balu's ENT CLINIC,ENT Clinic,Medical clinic,"Medical clinic, Service establishment",767035,Odisha circle,Sambalpur Region,Balangir Division,"Bhursaguda B.O, Chandotara B.O, Dedgaon B.O",+91 96776 24344,N/A,5.0,9.0,"Dr Balu's ENT CLINIC, 767035, India",767035,21.0680074,82.7525294,ChIJb4e8mkcRCDsRauchKeS1e7M,https://www.google.com/maps/place/?q=place_id:ChIJb4e8mkcRCDsRauchKeS1e7M,part_353,2026-09-20 20:19:44,8977
"Trinetra ENT Hospital - Dr. Ramkesh Meena | Ear, Nose & Throat Doctor |Best ENT Doctor & Surgeon in Sawai Madhopur",ENT Clinic,ENT Specialist,ENT Specialist,767037,Odisha Circle,Sambalpur Region,Balangir Division,"Muribahal S.O, Badsaimara B.O, Bankel B.O",+91 74622 22991,https://trinetraenthospital.in/,4.8,186.0,"Alanpur Cir, near Ranthambore Sevika Hospital, Vinayak Nagar, Housing Board, Sawai Madhopur, Alanpur Rural, Rajasthan 322001","Vinayak Nagar, Housing Board",25.9987347,76.3604388,ChIJJRXyKwolbjkRDxfmE5tM_kw,https://www.google.com/maps/place/?q=place_id:ChIJJRXyKwolbjkRDxfmE5tM_kw,part_353,2026-09-20 20:20:27,10705
E.N.T OT,ENT Clinic,ENT Specialist,ENT Specialist,767039,Odisha Circle,Sambalpur Region,Balangir Division,"Kantabanji S.O, Bichhubahali B.O, Chatuanka B.O",N/A,N/A,5.0,1.0,"PF5V+2X9, beside eye ward, Balangir, Odisha 767001",767039,20.7075395,83.4949745,ChIJZ-WA6G0PJDoR-0Q5FrvIP1s,https://www.google.com/maps/place/?q=place_id:ChIJZ-WA6G0PJDoR-0Q5FrvIP1s,part_353,2026-09-20 20:21:57,12922
DR. DIPTIMAN BALIARSINGH,ENT Clinic,ENT Specialist,ENT Specialist,767042,Odisha Circle,Sambalpur Region,Balangir Division,Bhatipara S.O,+91 94384 36775,https://drdiptimanent.com/,4.8,,"DR. DIPTIMAN BALIARSINGH - ENT CLINIC, JCEM DIAGNOSTICS Tarini Lane, Near Secondary Board High School, Bajrakabati Rd, Kataka, Odisha 753001","Samanta Sahi, Mangalabag",20.467131,85.88543469999999,ChIJs3lxX4ENGToRgvT-04jx33c,https://www.google.com/maps/place/?q=place_id:ChIJs3lxX4ENGToRgvT-04jx33c,part_353,2026-09-20 20:24:09,16166
